#Conversations: 283  turns: 13989  concurrency: 80 (cap), arrival 0.1 conv/s  gap x1.0  thinking: off
conv 6 done: 45 turns, 717 s elapsed
conv 2 done: 50 turns, 828 s elapsed
conv 38 done: 50 turns, 1163 s elapsed
conv 7 done: 50 turns, 1185 s elapsed
conv 31 done: 50 turns, 1226 s elapsed
conv 22 done: 50 turns, 1298 s elapsed
conv 57 done: 50 turns, 1324 s elapsed
conv 34 done: 50 turns, 1428 s elapsed
conv 42 done: 45 turns, 1435 s elapsed
conv 8 done: 50 turns, 1459 s elapsed
conv 15 done: 50 turns, 1540 s elapsed
conv 39 done: 50 turns, 1545 s elapsed
conv 19 done: 45 turns, 1592 s elapsed
conv 36 done: 50 turns, 1617 s elapsed
conv 4 done: 50 turns, 1651 s elapsed
conv 25 done: 50 turns, 1735 s elapsed
conv 77 done: 50 turns, 1894 s elapsed
conv 82 done: 50 turns, 1939 s elapsed
conv 81 done: 50 turns, 2004 s elapsed
conv 43 done: 50 turns, 2007 s elapsed
conv 14 done: 50 turns, 2032 s elapsed
conv 75 done: 47 turns, 2069 s elapsed
conv 41 done: 50 turns, 2124 s elapsed
conv 24 done: 50 turns, 2168 s elapsed
conv 1 done: 50 turns, 2172 s elapsed
conv 49 done: 50 turns, 2245 s elapsed
conv 73 done: 50 turns, 2277 s elapsed
conv 56 done: 50 turns, 2286 s elapsed
conv 53 done: 50 turns, 2358 s elapsed
conv 45 done: 45 turns, 2367 s elapsed
conv 27 done: 50 turns, 2368 s elapsed
conv 86 done: 50 turns, 2470 s elapsed
conv 0 done: 50 turns, 2547 s elapsed
conv 28 done: 50 turns, 2626 s elapsed
conv 30 done: 50 turns, 2647 s elapsed
conv 26 done: 50 turns, 2658 s elapsed
conv 83 done: 50 turns, 2705 s elapsed
conv 95 done: 50 turns, 2808 s elapsed
conv 91 done: 46 turns, 2815 s elapsed
conv 67 done: 50 turns, 2878 s elapsed
conv 23 done: 50 turns, 2884 s elapsed
conv 21 done: 50 turns, 2912 s elapsed
conv 88 done: 49 turns, 2937 s elapsed
conv 58 done: 47 turns, 2990 s elapsed
conv 32 done: 50 turns, 3003 s elapsed
conv 35 done: 50 turns, 3127 s elapsed
conv 70 done: 50 turns, 3137 s elapsed
conv 13 done: 50 turns, 3148 s elapsed
conv 87 done: 47 turns, 3162 s elapsed
conv 65 done: 50 turns, 3311 s elapsed
conv 54 done: 50 turns, 3326 s elapsed
conv 102 done: 48 turns, 3469 s elapsed
conv 29 done: 50 turns, 3478 s elapsed
conv 103 done: 50 turns, 3480 s elapsed
conv 60 done: 50 turns, 3518 s elapsed
conv 40 done: 50 turns, 3563 s elapsed
conv 18 done: 50 turns, 3588 s elapsed
conv 89 done: 50 turns, 3613 s elapsed
conv 9 done: 50 turns, 3680 s elapsed
conv 113 done: 50 turns, 3699 s elapsed
conv 33 done: 50 turns, 3847 s elapsed
conv 47 done: 50 turns, 3888 s elapsed
conv 69 done: 50 turns, 3928 s elapsed
conv 55 done: 50 turns, 3937 s elapsed
conv 72 done: 46 turns, 3981 s elapsed
conv 46 done: 50 turns, 4145 s elapsed
conv 74 done: 45 turns, 4165 s elapsed
conv 106 done: 50 turns, 4170 s elapsed
conv 90 done: 50 turns, 4217 s elapsed
conv 116 done: 50 turns, 4247 s elapsed
conv 64 done: 50 turns, 4378 s elapsed
conv 37 done: 50 turns, 4425 s elapsed
conv 76 done: 46 turns, 4431 s elapsed
conv 68 done: 50 turns, 4470 s elapsed
conv 123 done: 49 turns, 4559 s elapsed
conv 93 done: 50 turns, 4576 s elapsed
conv 51 done: 50 turns, 4609 s elapsed
conv 11 done: 50 turns, 4630 s elapsed
conv 130 done: 49 turns, 4663 s elapsed
conv 3 done: 50 turns, 4911 s elapsed
conv 138 done: 50 turns, 4943 s elapsed
conv 44 done: 50 turns, 4948 s elapsed
conv 66 done: 50 turns, 4951 s elapsed
conv 105 done: 50 turns, 4999 s elapsed
conv 10 done: 50 turns, 5000 s elapsed
conv 141 done: 50 turns, 5009 s elapsed
conv 94 done: 49 turns, 5016 s elapsed
conv 63 done: 49 turns, 5043 s elapsed
conv 20 done: 50 turns, 5048 s elapsed
conv 147 done: 50 turns, 5053 s elapsed
conv 85 done: 50 turns, 5162 s elapsed
conv 79 done: 50 turns, 5165 s elapsed
conv 131 done: 49 turns, 5170 s elapsed
conv 96 done: 50 turns, 5178 s elapsed
conv 99 done: 48 turns, 5229 s elapsed
conv 124 done: 45 turns, 5235 s elapsed
conv 128 done: 48 turns, 5239 s elapsed
conv 100 done: 50 turns, 5259 s elapsed
conv 146 done: 50 turns, 5331 s elapsed
conv 111 done: 50 turns, 5346 s elapsed
conv 48 done: 50 turns, 5379 s elapsed
conv 107 done: 50 turns, 5418 s elapsed
