#Conversations: 283  turns: 13989  concurrency: 80 (cap), arrival 0.1 conv/s  gap x1.0  thinking: off
conv 6 done: 45 turns, 717 s elapsed
conv 2 done: 50 turns, 830 s elapsed
conv 38 done: 50 turns, 1163 s elapsed
conv 7 done: 50 turns, 1191 s elapsed
conv 31 done: 50 turns, 1227 s elapsed
conv 22 done: 50 turns, 1298 s elapsed
conv 57 done: 50 turns, 1325 s elapsed
conv 34 done: 50 turns, 1429 s elapsed
conv 42 done: 45 turns, 1436 s elapsed
conv 8 done: 50 turns, 1454 s elapsed
conv 15 done: 50 turns, 1537 s elapsed
conv 39 done: 50 turns, 1543 s elapsed
conv 19 done: 45 turns, 1592 s elapsed
conv 36 done: 50 turns, 1614 s elapsed
conv 4 done: 50 turns, 1645 s elapsed
conv 25 done: 50 turns, 1735 s elapsed
conv 77 done: 50 turns, 1890 s elapsed
conv 82 done: 50 turns, 1936 s elapsed
conv 43 done: 50 turns, 1996 s elapsed
conv 81 done: 50 turns, 2005 s elapsed
conv 14 done: 50 turns, 2025 s elapsed
conv 75 done: 47 turns, 2060 s elapsed
conv 41 done: 50 turns, 2123 s elapsed
conv 24 done: 50 turns, 2162 s elapsed
conv 1 done: 50 turns, 2165 s elapsed
conv 49 done: 50 turns, 2241 s elapsed
conv 73 done: 50 turns, 2261 s elapsed
conv 56 done: 50 turns, 2284 s elapsed
conv 27 done: 50 turns, 2349 s elapsed
conv 53 done: 50 turns, 2352 s elapsed
conv 45 done: 45 turns, 2359 s elapsed
conv 86 done: 50 turns, 2447 s elapsed
conv 0 done: 50 turns, 2543 s elapsed
conv 28 done: 50 turns, 2605 s elapsed
conv 26 done: 50 turns, 2634 s elapsed
conv 30 done: 50 turns, 2641 s elapsed
conv 83 done: 50 turns, 2699 s elapsed
conv 95 done: 50 turns, 2773 s elapsed
conv 91 done: 46 turns, 2801 s elapsed
conv 23 done: 50 turns, 2858 s elapsed
conv 67 done: 50 turns, 2879 s elapsed
conv 21 done: 50 turns, 2890 s elapsed
conv 88 done: 49 turns, 2895 s elapsed
conv 58 done: 47 turns, 2964 s elapsed
conv 32 done: 50 turns, 2988 s elapsed
conv 35 done: 50 turns, 3106 s elapsed
conv 70 done: 50 turns, 3123 s elapsed
conv 87 done: 47 turns, 3123 s elapsed
conv 13 done: 50 turns, 3127 s elapsed
conv 54 done: 50 turns, 3257 s elapsed
conv 65 done: 50 turns, 3302 s elapsed
conv 102 done: 48 turns, 3431 s elapsed
conv 29 done: 50 turns, 3443 s elapsed
conv 103 done: 50 turns, 3449 s elapsed
conv 60 done: 50 turns, 3489 s elapsed
conv 40 done: 50 turns, 3515 s elapsed
conv 18 done: 50 turns, 3556 s elapsed
conv 89 done: 50 turns, 3592 s elapsed
conv 113 done: 50 turns, 3614 s elapsed
conv 9 done: 50 turns, 3669 s elapsed
conv 33 done: 50 turns, 3781 s elapsed
conv 47 done: 50 turns, 3858 s elapsed
conv 69 done: 50 turns, 3901 s elapsed
conv 55 done: 50 turns, 3909 s elapsed
conv 72 done: 46 turns, 3955 s elapsed
conv 106 done: 50 turns, 4091 s elapsed
conv 46 done: 50 turns, 4117 s elapsed
conv 74 done: 45 turns, 4135 s elapsed
conv 90 done: 50 turns, 4199 s elapsed
conv 116 done: 50 turns, 4200 s elapsed
conv 64 done: 50 turns, 4289 s elapsed
conv 37 done: 50 turns, 4353 s elapsed
conv 68 done: 50 turns, 4377 s elapsed
conv 76 done: 46 turns, 4387 s elapsed
conv 123 done: 49 turns, 4448 s elapsed
conv 51 done: 50 turns, 4507 s elapsed
conv 93 done: 50 turns, 4513 s elapsed
conv 130 done: 49 turns, 4602 s elapsed
conv 11 done: 50 turns, 4622 s elapsed
conv 3 done: 50 turns, 4724 s elapsed
conv 138 done: 50 turns, 4801 s elapsed
conv 44 done: 50 turns, 4837 s elapsed
conv 66 done: 50 turns, 4880 s elapsed
conv 10 done: 50 turns, 4886 s elapsed
conv 94 done: 49 turns, 4895 s elapsed
conv 147 done: 50 turns, 4916 s elapsed
conv 105 done: 50 turns, 4932 s elapsed
conv 141 done: 50 turns, 4937 s elapsed
conv 20 done: 50 turns, 4937 s elapsed
conv 63 done: 49 turns, 4996 s elapsed
conv 131 done: 49 turns, 5026 s elapsed
conv 85 done: 50 turns, 5039 s elapsed
conv 128 done: 48 turns, 5088 s elapsed
conv 79 done: 50 turns, 5103 s elapsed
conv 99 done: 48 turns, 5128 s elapsed
conv 124 done: 45 turns, 5139 s elapsed
conv 96 done: 50 turns, 5161 s elapsed
conv 146 done: 50 turns, 5209 s elapsed
conv 100 done: 50 turns, 5214 s elapsed
conv 111 done: 50 turns, 5221 s elapsed
conv 107 done: 50 turns, 5332 s elapsed
conv 48 done: 50 turns, 5335 s elapsed
conv 104 done: 50 turns, 5372 s elapsed
conv 144 done: 50 turns, 5408 s elapsed
conv 61 done: 50 turns, 5441 s elapsed
conv 101 done: 45 turns, 5462 s elapsed
conv 137 done: 45 turns, 5493 s elapsed
conv 97 done: 50 turns, 5698 s elapsed
conv 122 done: 49 turns, 5710 s elapsed
conv 80 done: 50 turns, 5715 s elapsed
conv 149 done: 50 turns, 5726 s elapsed
conv 52 done: 50 turns, 5739 s elapsed
conv 120 done: 50 turns, 5769 s elapsed
conv 92 done: 50 turns, 5852 s elapsed
conv 71 done: 49 turns, 5871 s elapsed
conv 118 done: 50 turns, 5923 s elapsed
conv 108 done: 50 turns, 5978 s elapsed
conv 157 done: 50 turns, 6018 s elapsed
conv 12 done: 50 turns, 6058 s elapsed
conv 158 done: 50 turns, 6060 s elapsed
conv 156 done: 50 turns, 6074 s elapsed
conv 143 done: 50 turns, 6083 s elapsed
conv 172 done: 50 turns, 6151 s elapsed
conv 132 done: 48 turns, 6211 s elapsed
conv 62 done: 50 turns, 6257 s elapsed
conv 134 done: 48 turns, 6284 s elapsed
conv 129 done: 49 turns, 6363 s elapsed
conv 164 done: 50 turns, 6363 s elapsed
conv 159 done: 50 turns, 6399 s elapsed
conv 173 done: 46 turns, 6496 s elapsed
conv 152 done: 48 turns, 6571 s elapsed
conv 187 done: 50 turns, 6603 s elapsed
conv 193 done: 50 turns, 6615 s elapsed
conv 119 done: 45 turns, 6619 s elapsed
conv 183 done: 45 turns, 6671 s elapsed
conv 109 done: 49 turns, 6676 s elapsed
conv 171 done: 50 turns, 6685 s elapsed
conv 112 done: 50 turns, 6765 s elapsed
conv 190 done: 50 turns, 6780 s elapsed
conv 59 done: 50 turns, 6818 s elapsed
conv 78 done: 50 turns, 6834 s elapsed
conv 16 done: 50 turns, 6850 s elapsed
conv 140 done: 50 turns, 6861 s elapsed
conv 162 done: 50 turns, 6873 s elapsed
conv 166 done: 50 turns, 6954 s elapsed
conv 163 done: 50 turns, 6964 s elapsed
conv 191 done: 50 turns, 6974 s elapsed
conv 50 done: 50 turns, 6991 s elapsed
conv 194 done: 50 turns, 7063 s elapsed
conv 133 done: 50 turns, 7117 s elapsed
conv 203 done: 50 turns, 7136 s elapsed
conv 154 done: 50 turns, 7165 s elapsed
conv 155 done: 50 turns, 7198 s elapsed
conv 121 done: 49 turns, 7220 s elapsed
summary: {"kind": "summary", "tag": "cmp_three_tier_to", "elapsed_s": 7223.6, "turns": 9523, "controls": 0, "errors": 0, "retries": 0, "capped_convs": 79, "capped": true, "mean_ttft_s": 0.3492, "mean_reply_reprefilled": 32.1}
