#Conversations: 283  turns: 13989  concurrency: 80 (cap), arrival 0.1 conv/s  gap x1.0  thinking: off
conv 6 done: 45 turns, 718 s elapsed
conv 2 done: 50 turns, 829 s elapsed
conv 38 done: 50 turns, 1163 s elapsed
conv 7 done: 50 turns, 1191 s elapsed
conv 31 done: 50 turns, 1226 s elapsed
conv 22 done: 50 turns, 1294 s elapsed
conv 57 done: 50 turns, 1325 s elapsed
conv 34 done: 50 turns, 1429 s elapsed
conv 42 done: 45 turns, 1436 s elapsed
conv 8 done: 50 turns, 1456 s elapsed
conv 15 done: 50 turns, 1535 s elapsed
conv 39 done: 50 turns, 1543 s elapsed
conv 19 done: 45 turns, 1594 s elapsed
conv 36 done: 50 turns, 1614 s elapsed
conv 4 done: 50 turns, 1642 s elapsed
conv 25 done: 50 turns, 1732 s elapsed
conv 77 done: 50 turns, 1891 s elapsed
conv 82 done: 50 turns, 1937 s elapsed
conv 43 done: 50 turns, 1996 s elapsed
conv 81 done: 50 turns, 2004 s elapsed
conv 14 done: 50 turns, 2026 s elapsed
conv 75 done: 47 turns, 2057 s elapsed
conv 41 done: 50 turns, 2123 s elapsed
conv 24 done: 50 turns, 2160 s elapsed
conv 1 done: 50 turns, 2166 s elapsed
conv 49 done: 50 turns, 2240 s elapsed
conv 73 done: 50 turns, 2260 s elapsed
conv 56 done: 50 turns, 2283 s elapsed
conv 27 done: 50 turns, 2349 s elapsed
conv 53 done: 50 turns, 2352 s elapsed
conv 45 done: 45 turns, 2359 s elapsed
conv 86 done: 50 turns, 2446 s elapsed
conv 0 done: 50 turns, 2543 s elapsed
conv 28 done: 50 turns, 2606 s elapsed
conv 26 done: 50 turns, 2634 s elapsed
conv 30 done: 50 turns, 2641 s elapsed
conv 83 done: 50 turns, 2696 s elapsed
conv 95 done: 50 turns, 2772 s elapsed
conv 91 done: 46 turns, 2800 s elapsed
conv 23 done: 50 turns, 2858 s elapsed
conv 67 done: 50 turns, 2879 s elapsed
