#Conversations: 283  turns: 13989  concurrency: 80 (cap), arrival 0.1 conv/s  gap x1.0  thinking: off
conv 6 done: 45 turns, 725 s elapsed
conv 2 done: 50 turns, 839 s elapsed
conv 38 done: 50 turns, 1180 s elapsed
conv 7 done: 50 turns, 1259 s elapsed
conv 31 done: 50 turns, 1308 s elapsed
conv 22 done: 50 turns, 1421 s elapsed
conv 57 done: 50 turns, 1432 s elapsed
conv 42 done: 45 turns, 2003 s elapsed
conv 8 done: 50 turns, 2253 s elapsed
conv 19 done: 45 turns, 2265 s elapsed
conv 15 done: 50 turns, 2387 s elapsed
conv 34 done: 50 turns, 2479 s elapsed
conv 36 done: 50 turns, 2802 s elapsed
conv 39 done: 50 turns, 2863 s elapsed
conv 41 done: 50 turns, 3726 s elapsed
conv 1 done: 50 turns, 3833 s elapsed
conv 25 done: 50 turns, 3867 s elapsed
conv 49 done: 50 turns, 4468 s elapsed
conv 14 done: 50 turns, 4573 s elapsed
conv 4 done: 50 turns, 4622 s elapsed
conv 45 done: 45 turns, 4831 s elapsed
conv 30 done: 50 turns, 5003 s elapsed
conv 0 done: 50 turns, 5205 s elapsed
conv 56 done: 50 turns, 5240 s elapsed
conv 82 done: 50 turns, 5631 s elapsed
conv 28 done: 50 turns, 6200 s elapsed
conv 65 done: 50 turns, 6573 s elapsed
conv 21 done: 50 turns, 6659 s elapsed
conv 13 done: 50 turns, 7006 s elapsed
conv 55 done: 50 turns, 7038 s elapsed
conv 53 done: 50 turns, 7083 s elapsed
conv 77 done: 50 turns, 7101 s elapsed
conv 58 done: 47 turns, 7132 s elapsed
conv 9 done: 50 turns, 7347 s elapsed
summary: {"kind": "summary", "tag": "cmp_hbm_lru", "elapsed_s": 7356.9, "turns": 3832, "controls": 0, "errors": 0, "retries": 0, "capped_convs": 79, "capped": true, "mean_ttft_s": 52.8643, "mean_reply_reprefilled": 10816.0}
