scale,arm,turns,ttft_mean,ttft_p50,ttft_p90,ttft_p99,share_device,share_host,share_storage,share_recompute,storage_hits,queue_mean,l3_read_mean,prefill_mean,decode_mean,queue_share,measured_frac
x70,hbm_host,4548,60.994,0.975,184.146,210.081,0.2801,0.3415,0.0,0.3784,0,49.616,0.0,11.378,37.149,0.5055,0.348
x70,three_tier_to,4548,1.94,0.323,6.813,17.508,0.367,0.4224,0.1957,0.015,890,1.429,0.804,0.511,10.292,0.1169,0.619
x70,three_tier_wc,4507,1.478,0.292,4.503,16.752,0.3949,0.4193,0.1857,0.0,837,1.127,0.975,0.351,8.508,0.1129,0.605
x70,hbm_lru,4548,97.009,92.852,200.624,224.188,0.2166,0.0,0.0,0.7834,0,73.528,0.0,23.481,63.785,0.4573,0.0
x10,hbm_host,4540,114.765,134.471,250.411,265.53,0.1399,0.3269,0.0,0.5333,0,97.888,0.0,16.877,49.863,0.5946,0.328
x10,three_tier_to,4538,115.925,134.011,251.289,266.138,0.1401,0.3138,0.0022,0.5439,10,98.718,0.014,17.207,50.508,0.5931,0.318
x10,three_tier_wc,4539,116.127,135.739,252.07,262.58,0.1443,0.3091,0.002,0.5446,9,98.855,0.014,17.272,50.567,0.593,0.312
x10,hbm_lru,4422,138.725,144.388,251.764,263.786,0.1845,0.0,0.0,0.8155,0,117.905,0.0,20.82,65.681,0.5768,1.0
x1,hbm_host,4548,130.501,150.557,262.31,279.501,0.1231,0.2902,0.0,0.5866,0,108.941,0.0,21.56,53.05,0.5935,1.0
x1,three_tier_to,4548,131.165,148.867,261.833,279.337,0.1231,0.2832,0.0007,0.593,3,109.382,0.004,21.783,53.474,0.5924,1.0
x1,three_tier_wc,4548,131.405,149.257,262.312,278.675,0.1245,0.2803,0.0004,0.5948,2,109.542,0.004,21.863,53.405,0.5927,1.0
x1,hbm_lru,4433,149.985,155.22,264.448,280.314,0.1816,0.0,0.0,0.8184,0,122.077,0.0,27.908,65.822,0.5657,1.0
