arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
three_tier_wc,9,1,device,7.136,8687,47,11.1377,13.9675,5.8455,0.0,5.2922,2.8298,time_stats,37
three_tier_wc,47,1,device,7.135,8317,61,11.0716,13.994,5.7752,0.0,5.2964,2.9224,time_stats,37
three_tier_wc,51,1,device,7.752,8394,74,10.5222,13.4866,5.5882,0.0,4.934,2.9644,time_stats,36
three_tier_wc,5,1,device,8.419,9921,193,10.0784,13.0448,5.53,0.0,4.5484,2.9664,time_stats,36
three_tier_wc,61,1,device,8.01,9698,34,10.4063,14.8467,5.6986,0.0,4.7077,4.4404,time_stats,36
three_tier_wc,16,1,device,9.007,9750,86,10.0479,14.5066,5.7727,0.0,4.2752,4.4587,time_stats,36
three_tier_wc,23,1,device,8.459,8301,45,10.0385,15.0902,5.4991,0.0,4.5394,5.0517,time_stats,36
three_tier_wc,0,1,device,8.708,8328,72,9.79,15.0543,5.4987,0.0,4.2913,5.2643,time_stats,36
three_tier_wc,33,1,device,11.43,8533,85,9.4252,12.5461,5.392,0.0,4.0332,3.1209,time_stats,36
three_tier_wc,11,1,device,8.984,8494,46,9.579,15.1403,5.4142,0.0,4.1648,5.5613,time_stats,36
three_tier_wc,32,1,device,9.625,9964,44,10.0695,14.6415,6.2136,0.0,3.8559,4.572,time_stats,36
three_tier_wc,29,1,device,12.378,10944,320,8.8295,11.9251,4.3639,0.0,4.4656,3.0956,time_stats,36
three_tier_wc,15,1,device,13.633,10269,221,8.1983,11.1408,3.3352,0.0,4.8631,2.9425,time_stats,36
three_tier_wc,59,1,device,14.477,10791,423,7.6202,10.5026,2.5439,0.0,5.0763,2.8824,time_stats,38
three_tier_wc,54,1,device,10.345,8296,40,9.8111,14.7772,5.3739,0.0,4.4372,4.9661,time_stats,36
three_tier_wc,4,1,device,9.695,8813,45,10.2155,15.4622,6.119,0.0,4.0965,5.2467,time_stats,36
three_tier_wc,6,1,device,14.128,10138,218,7.8608,11.0646,3.4072,0.0,4.4536,3.2038,time_stats,37
three_tier_wc,48,1,device,9.676,8409,89,10.0901,15.6015,5.9801,0.0,4.11,5.5114,time_stats,36
three_tier_wc,39,1,device,15.49,11006,318,7.005,9.812,2.3368,0.0,4.6682,2.807,time_stats,36
three_tier_wc,22,1,device,11.002,9956,36,9.435,14.3567,5.2888,0.0,4.1462,4.9217,time_stats,36
three_tier_wc,21,1,device,9.047,11107,35,10.2942,16.6585,5.8922,0.0,4.402,6.3643,time_stats,36
