arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
hbm_host,9,1,device,7.444,8687,47,10.6928,13.5002,4.2791,0.0,6.4137,2.8074,estimated,37
hbm_host,47,1,device,7.409,8317,61,10.6523,13.5793,4.2386,0.0,6.4137,2.927,estimated,37
hbm_host,51,1,device,7.966,8394,74,10.1704,13.1242,3.7567,0.0,6.4137,2.9538,estimated,36
hbm_host,16,1,device,9.224,9750,86,9.1335,13.3112,2.7198,0.0,6.4137,4.1777,estimated,36
hbm_host,61,1,device,8.183,9698,34,10.096,14.3524,3.6823,0.0,6.4137,4.2564,estimated,36
hbm_host,23,1,device,8.632,8301,45,9.7255,14.584,3.3118,0.0,6.4137,4.8585,estimated,36
hbm_host,0,1,device,9.001,8328,72,9.3569,14.3942,2.9432,0.0,6.4137,5.0373,estimated,37
hbm_host,33,1,device,11.641,8533,85,8.971,11.9462,2.5573,0.0,6.4137,2.9752,estimated,36
hbm_host,32,1,device,9.813,9964,44,9.5614,13.8845,3.1477,0.0,6.4137,4.3231,estimated,37
hbm_host,11,1,device,9.305,8494,46,9.1188,14.4627,2.7051,0.0,6.4137,5.3439,estimated,36
hbm_host,4,1,device,9.93,8813,45,9.6197,14.6247,3.206,0.0,6.4137,5.005,estimated,37
hbm_host,54,1,device,10.523,8296,40,9.4858,14.1762,3.0721,0.0,6.4137,4.6904,estimated,37
hbm_host,5,1,device,14.862,9921,193,6.8978,9.8389,0.4841,0.0,6.4137,2.9411,estimated,36
hbm_host,21,1,device,9.344,11107,35,9.572,15.5071,3.1583,0.0,6.4137,5.9351,estimated,36
hbm_host,22,1,device,11.26,9956,36,8.9612,13.5916,2.5475,0.0,6.4137,4.6304,estimated,36
hbm_host,48,1,device,10.003,8409,89,9.7629,14.9925,3.3492,0.0,6.4137,5.2296,estimated,37
hbm_host,27,1,device,12.467,8569,57,8.3035,12.6082,1.8898,0.0,6.4137,4.3047,estimated,36
hbm_host,72,1,device,16.989,8327,71,5.1854,8.2496,0.0,0.0,5.1854,3.0642,estimated,36
hbm_host,87,1,device,17.836,8318,62,4.6584,7.5905,0.0,0.0,4.6584,2.9321,estimated,36
hbm_host,71,1,device,18.542,10085,37,4.2461,6.8842,0.0,0.0,4.2461,2.6381,estimated,36
hbm_host,44,1,device,9.47,8455,71,9.7258,15.9864,3.3121,0.0,6.4137,6.2606,estimated,36
hbm_host,12,1,device,11.092,8317,61,8.917,14.3653,2.5033,0.0,6.4137,5.4483,estimated,36
hbm_host,94,1,device,18.458,8266,74,4.1881,7.082,0.0,0.0,4.1881,2.8939,estimated,36
hbm_host,60,1,device,9.998,10217,41,9.6254,15.8067,3.2117,0.0,6.4137,6.1813,estimated,37
hbm_host,25,1,device,13.703,8713,73,7.9059,12.103,1.4922,0.0,6.4137,4.1971,estimated,37
hbm_host,99,1,device,18.646,8351,95,4.3566,7.2037,0.0,0.0,4.3566,2.8471,estimated,36
hbm_host,55,1,device,10.496,8314,58,9.444,15.4578,3.0303,0.0,6.4137,6.0138,estimated,37
hbm_host,1,1,device,10.489,8579,67,9.2771,15.541,2.8634,0.0,6.4137,6.2639,estimated,37
hbm_host,96,1,device,18.66,8313,57,4.4105,7.3714,0.0,0.0,4.4105,2.9609,estimated,36
hbm_host,41,1,device,13.109,8672,96,7.949,13.1148,1.5353,0.0,6.4137,5.1658,estimated,36
hbm_host,19,1,device,11.446,8371,51,8.8438,14.9344,2.4301,0.0,6.4137,6.0906,estimated,36
hbm_host,53,1,device,11.881,8606,94,8.8113,14.5371,2.3976,0.0,6.4137,5.7258,estimated,36
hbm_host,50,1,device,11.914,9921,65,8.8562,14.5039,2.4425,0.0,6.4137,5.6477,estimated,36
hbm_host,109,1,device,19.667,8280,88,4.0665,6.7821,0.0,0.0,4.0665,2.7156,estimated,36
hbm_host,29,1,device,18.702,10944,320,4.8099,7.9124,0.0,0.0,4.8099,3.1025,estimated,36
hbm_host,8,1,device,11.548,9879,87,8.9233,15.1022,2.5096,0.0,6.4137,6.1789,estimated,36
hbm_host,57,1,device,12.953,8534,86,8.105,13.7289,1.6913,0.0,6.4137,5.6239,estimated,37
hbm_host,18,1,device,11.131,8661,85,9.0187,15.6215,2.605,0.0,6.4137,6.6028,estimated,36
hbm_host,42,1,device,12.818,9859,67,8.2405,14.0081,1.8268,0.0,6.4137,5.7676,estimated,36
hbm_host,28,1,device,13.062,8610,34,7.9959,14.1042,1.5822,0.0,6.4137,6.1083,estimated,37
hbm_host,10,1,device,12.517,10443,75,8.4464,14.6861,2.0327,0.0,6.4137,6.2397,estimated,36
hbm_host,20,1,device,15.538,10572,76,6.3002,11.855,0.0,0.0,6.3002,5.5548,estimated,36
hbm_host,14,1,device,16.556,8641,65,5.5405,10.838,0.0,0.0,5.5405,5.2975,estimated,36
hbm_host,56,1,device,11.916,12920,56,8.855,15.6668,2.4413,0.0,6.4137,6.8118,estimated,36
hbm_host,15,1,device,20.094,10269,221,4.3479,7.4893,0.0,0.0,4.3479,3.1414,estimated,36
hbm_host,24,1,device,18.457,10366,62,4.1893,9.1606,0.0,0.0,4.1893,4.9713,estimated,36
hbm_host,34,1,device,13.095,9789,61,7.9638,14.7565,1.5501,0.0,6.4137,6.7927,estimated,36
hbm_host,49,1,device,13.52,8989,93,7.6106,14.4878,1.1969,0.0,6.4137,6.8772,estimated,36
hbm_host,17,1,device,15.068,8928,96,6.6914,12.9751,0.2777,0.0,6.4137,6.2837,estimated,36
hbm_host,75,1,device,20.3,9880,88,4.5121,7.7436,0.0,0.0,4.5121,3.2315,estimated,36
hbm_host,2,1,device,15.957,10624,64,6.14,12.1985,0.0,0.0,6.14,6.0585,estimated,36
hbm_host,52,1,device,14.65,11039,95,6.9584,13.6107,0.5447,0.0,6.4137,6.6523,estimated,36
hbm_host,13,1,device,13.441,9049,89,7.69,14.9031,1.2763,0.0,6.4137,7.2131,estimated,36
hbm_host,35,1,device,13.675,8924,92,7.7071,14.6697,1.2934,0.0,6.4137,6.9626,estimated,37
hbm_host,67,1,device,18.448,8568,56,4.1976,9.9815,0.0,0.0,4.1976,5.7839,estimated,36
hbm_host,38,1,device,16.055,8340,84,6.0417,12.375,0.0,0.0,6.0417,6.3333,estimated,36
hbm_host,74,1,device,19.237,11358,94,4.4276,9.4393,0.0,0.0,4.4276,5.0117,estimated,36
hbm_host,6,1,device,20.435,10138,218,4.6071,8.2418,0.0,0.0,4.6071,3.6347,estimated,36
hbm_host,30,1,device,13.58,8394,74,7.6215,15.1299,1.2078,0.0,6.4137,7.5084,estimated,37
hbm_host,59,1,device,20.855,10791,423,4.6506,7.89,0.0,0.0,4.6506,3.2394,estimated,36
hbm_host,126,1,device,21.745,8370,50,4.2502,7.4178,0.0,0.0,4.2502,3.1676,estimated,36
hbm_host,26,1,device,15.62,9259,43,6.2189,13.5784,0.0,0.0,6.2189,7.3595,estimated,36
hbm_host,107,1,device,19.913,11859,83,3.9732,9.319,0.0,0.0,3.9732,5.3458,estimated,36
hbm_host,7,1,device,13.699,8556,44,7.8273,15.5682,1.4136,0.0,6.4137,7.7409,estimated,37
hbm_host,117,1,device,21.816,10287,47,4.2548,7.4526,0.0,0.0,4.2548,3.1978,estimated,36
hbm_host,45,1,device,14.715,11067,59,6.8932,14.6566,0.4795,0.0,6.4137,7.7634,estimated,36
hbm_host,68,1,device,18.248,8317,61,4.3983,11.1241,0.0,0.0,4.3983,6.7258,estimated,36
hbm_host,39,1,device,22.024,11006,318,4.3185,7.548,0.0,0.0,4.3185,3.2295,estimated,36
hbm_host,58,1,device,16.991,8516,68,5.1831,12.6834,0.0,0.0,5.1831,7.5003,estimated,36
hbm_host,69,1,device,18.681,8524,76,4.6395,10.9939,0.0,0.0,4.6395,6.3544,estimated,36
hbm_host,46,1,device,21.516,10274,354,4.4042,8.16,0.0,0.0,4.4042,3.7558,estimated,36
hbm_host,65,1,device,17.828,10164,52,4.5983,11.8791,0.0,0.0,4.5983,7.2808,estimated,36
hbm_host,64,1,device,17.789,10040,56,4.6367,12.2011,0.0,0.0,4.6367,7.5644,estimated,36
hbm_host,40,1,device,15.69,10031,47,6.1488,14.3008,0.0,0.0,6.1488,8.152,estimated,36
hbm_host,90,1,device,21.388,8594,82,4.1999,8.9732,0.0,0.0,4.1999,4.7733,estimated,36
hbm_host,110,1,device,21.357,9750,86,4.2305,9.1687,0.0,0.0,4.2305,4.9382,estimated,36
hbm_host,31,1,device,23.842,10662,358,3.8549,6.931,0.0,0.0,3.8549,3.0761,estimated,36
hbm_host,85,1,device,27.926,10414,430,0.3799,3.0887,0.0,0.0,0.3799,2.7088,estimated,3
hbm_host,104,1,device,20.931,8522,74,4.6566,10.1457,0.0,0.0,4.6566,5.4891,estimated,36
hbm_host,120,1,device,27.828,10094,494,0.3956,3.2785,0.0,0.0,0.3956,2.8829,estimated,3
hbm_host,84,1,device,20.768,10175,63,4.5794,10.3737,0.0,0.0,4.5794,5.7943,estimated,36
hbm_host,77,1,device,22.156,10120,72,4.4205,8.9869,0.0,0.0,4.4205,4.5664,estimated,36
hbm_host,80,1,device,27.971,11470,398,0.4221,3.1728,0.015,0.0,0.4071,2.7507,estimated,3
hbm_host,119,1,device,26.091,10887,199,2.133,5.0534,0.0,0.0,2.133,2.9204,estimated,21
hbm_host,83,1,device,20.616,11785,73,4.5836,10.5539,0.0,0.0,4.5836,5.9703,estimated,36
hbm_host,62,1,device,20.308,10661,37,4.6544,10.8619,0.0,0.0,4.6544,6.2075,estimated,36
hbm_host,79,1,device,19.797,8525,77,4.0078,11.3736,0.0,0.0,4.0078,7.3658,estimated,36
hbm_host,9,2,device,28.073,8935,231,0.4204,3.0979,0.0133,0.0,0.4071,2.6775,estimated,3
hbm_host,86,1,device,20.111,8395,75,4.5484,11.1111,0.0,0.0,4.5484,6.5627,estimated,36
hbm_host,47,2,device,28.079,8697,377,0.415,3.1446,0.0079,0.0,0.4071,2.7296,estimated,3
hbm_host,88,1,device,25.389,14919,135,2.5814,5.8608,0.0,0.0,2.5814,3.2794,estimated,30
hbm_host,108,1,device,28.836,10900,468,0.1326,2.4142,0.0,0.0,0.1326,2.2816,estimated,0
hbm_host,73,1,device,20.302,8795,91,4.5107,10.9977,0.0,0.0,4.5107,6.487,estimated,36
hbm_host,91,1,device,28.113,10232,440,0.4905,3.2113,0.0834,0.0,0.4071,2.7208,estimated,4
hbm_host,111,1,device,28.238,11780,452,0.5667,3.0869,0.1596,0.0,0.4071,2.5202,estimated,5
