arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
hbm_lru,9,1,device,7.358,8687,47,10.6697,13.4795,5.8382,0.0,4.8315,2.8098,time_stats,37
hbm_lru,47,1,device,7.342,8317,61,10.6116,13.5373,5.7667,0.0,4.8449,2.9257,time_stats,37
hbm_lru,51,1,device,7.881,8394,74,10.1469,13.0987,5.5786,0.0,4.5683,2.9518,time_stats,36
hbm_lru,61,1,device,8.096,9698,34,10.0747,14.3276,5.6889,0.0,4.3858,4.2529,time_stats,36
hbm_lru,16,1,device,9.137,9750,86,9.1107,13.2866,5.4903,0.0,3.6204,4.1759,time_stats,36
hbm_lru,23,1,device,8.545,8301,45,9.7034,14.5599,5.5222,0.0,4.1812,4.8565,time_stats,36
hbm_lru,0,1,device,8.915,8328,72,9.3337,14.3684,5.5221,0.0,3.8116,5.0347,time_stats,37
hbm_lru,33,1,device,11.541,8533,85,8.9602,11.933,5.3395,0.0,3.6207,2.9728,time_stats,36
hbm_lru,32,1,device,9.72,9964,44,9.5446,13.8647,6.0228,0.0,3.5218,4.3201,time_stats,37
hbm_lru,11,1,device,9.218,8494,46,9.0971,14.4374,5.4024,0.0,3.6947,5.3403,time_stats,36
hbm_lru,4,1,device,9.836,8813,45,9.6042,14.6113,6.2009,0.0,3.4033,5.0071,time_stats,37
hbm_lru,54,1,device,10.424,8296,40,9.4762,14.1688,5.9015,0.0,3.5747,4.6926,time_stats,37
hbm_lru,5,1,device,14.775,9921,193,6.8734,9.8182,3.3981,0.0,3.4753,2.9448,time_stats,36
hbm_lru,22,1,device,11.164,9956,36,8.9486,13.581,5.5693,0.0,3.3793,4.6324,time_stats,36
hbm_lru,21,1,device,9.257,11107,35,9.5504,15.4877,5.7611,0.0,3.7893,5.9373,time_stats,36
hbm_lru,48,1,device,9.91,8409,89,9.7459,14.9792,6.1078,0.0,3.6381,5.2333,time_stats,37
hbm_lru,27,1,device,12.365,8569,57,8.2952,12.6037,4.9283,0.0,3.3669,4.3085,time_stats,36
hbm_lru,72,1,device,16.883,8327,71,5.1808,8.2495,2.4025,0.0,2.7783,3.0687,time_stats,36
hbm_lru,87,1,device,17.728,8318,62,4.6558,7.591,2.2759,0.0,2.3799,2.9352,time_stats,36
hbm_lru,71,1,device,18.434,10085,37,4.2441,6.8853,2.0325,0.0,2.2116,2.6412,time_stats,36
hbm_lru,44,1,device,9.384,8455,71,9.703,15.9657,5.8812,0.0,3.8218,6.2627,time_stats,36
hbm_lru,12,1,device,10.996,8317,61,8.9033,14.3537,5.3605,0.0,3.5428,5.4504,time_stats,36
hbm_lru,94,1,device,18.35,8266,74,4.1863,7.0833,1.9538,0.0,2.2325,2.897,time_stats,36
hbm_lru,60,1,device,9.904,10217,41,9.6101,15.7925,5.9639,0.0,3.6462,6.1824,time_stats,37
hbm_lru,25,1,device,13.599,8713,73,7.8986,12.0984,3.4599,0.0,4.4387,4.1998,time_stats,37
hbm_lru,99,1,device,18.537,8351,95,4.3544,7.2058,2.249,0.0,2.1054,2.8514,time_stats,36
