arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
three_tier_to,9,1,device,7.853,8687,47,10.502,13.3304,4.0883,0.0,6.4137,2.8284,estimated,36
three_tier_to,47,1,device,7.839,8317,61,10.4437,13.372,4.03,0.0,6.4137,2.9283,estimated,36
three_tier_to,51,1,device,8.197,8394,74,10.1584,13.1147,3.7447,0.0,6.4137,2.9563,estimated,36
three_tier_to,16,1,device,9.45,9750,86,9.1254,13.3223,2.7117,0.0,6.4137,4.1969,estimated,36
three_tier_to,61,1,device,8.409,9698,34,10.0883,14.3639,3.6746,0.0,6.4137,4.2756,estimated,36
three_tier_to,23,1,device,8.853,8301,45,9.7218,14.5606,3.3081,0.0,6.4137,4.8388,estimated,36
three_tier_to,0,1,device,9.226,8328,72,9.3495,14.3677,2.9358,0.0,6.4137,5.0182,estimated,37
three_tier_to,33,1,device,11.864,8533,85,8.8283,11.7654,2.4146,0.0,6.4137,2.9371,estimated,36
three_tier_to,32,1,device,10.038,9964,44,9.5537,13.8985,3.14,0.0,6.4137,4.3448,estimated,37
three_tier_to,11,1,device,9.528,8494,46,9.1125,14.4436,2.6988,0.0,6.4137,5.3311,estimated,36
three_tier_to,4,1,device,10.155,8813,45,9.6106,14.6023,3.1969,0.0,6.4137,4.9917,estimated,37
three_tier_to,5,1,device,15.085,9921,193,6.7649,9.6965,0.3512,0.0,6.4137,2.9316,estimated,36
three_tier_to,54,1,device,10.751,8296,40,9.4798,14.1566,3.0661,0.0,6.4137,4.6768,estimated,37
three_tier_to,22,1,device,11.485,9956,36,8.8865,13.5001,2.4728,0.0,6.4137,4.6136,estimated,36
three_tier_to,48,1,device,10.229,8409,89,9.6079,14.8211,3.1942,0.0,6.4137,5.2132,estimated,37
three_tier_to,21,1,device,9.569,11107,35,9.5654,15.4815,3.1517,0.0,6.4137,5.9161,estimated,36
three_tier_to,27,1,device,12.689,8569,57,8.3061,12.5902,1.8924,0.0,6.4137,4.2841,estimated,36
three_tier_to,72,1,device,17.209,8327,71,5.1305,8.151,0.0,0.0,5.1305,3.0205,estimated,36
three_tier_to,71,1,device,18.762,10085,37,4.1201,6.7604,0.0,0.0,4.1201,2.6403,estimated,36
three_tier_to,87,1,device,18.057,8318,62,4.6041,7.5347,0.0,0.0,4.6041,2.9306,estimated,36
three_tier_to,12,1,device,11.316,8317,61,8.9142,14.4609,2.5005,0.0,6.4137,5.5467,estimated,36
three_tier_to,44,1,device,9.697,8455,71,9.7162,16.0808,3.3025,0.0,6.4137,6.3646,estimated,36
three_tier_to,94,1,device,18.677,8266,74,4.205,7.137,0.0,0.0,4.205,2.932,estimated,36
three_tier_to,25,1,device,13.924,8713,73,7.8402,12.1286,1.4265,0.0,6.4137,4.2884,estimated,37
three_tier_to,99,1,device,18.864,8351,95,4.3358,7.2382,0.0,0.0,4.3358,2.9024,estimated,36
three_tier_to,55,1,device,10.718,8314,58,9.4426,15.5229,3.0289,0.0,6.4137,6.0803,estimated,37
three_tier_to,60,1,device,10.23,10217,41,9.7528,16.0115,3.3391,0.0,6.4137,6.2587,estimated,37
three_tier_to,1,1,device,10.713,8579,67,9.2697,15.6232,2.856,0.0,6.4137,6.3535,estimated,37
three_tier_to,96,1,device,18.878,8313,57,4.3898,7.4599,0.0,0.0,4.3898,3.0701,estimated,36
three_tier_to,41,1,device,13.335,8672,96,7.9459,13.1845,1.5322,0.0,6.4137,5.2386,estimated,36
three_tier_to,19,1,device,11.67,8371,51,8.7695,14.9166,2.3558,0.0,6.4137,6.1471,estimated,36
three_tier_to,53,1,device,12.112,8606,94,8.7207,14.5521,2.307,0.0,6.4137,5.8314,estimated,36
three_tier_to,50,1,device,12.14,9921,65,8.7781,14.5238,2.3644,0.0,6.4137,5.7457,estimated,36
three_tier_to,109,1,device,19.884,8280,88,3.9766,6.781,0.0,0.0,3.9766,2.8044,estimated,36
three_tier_to,8,1,device,11.772,9880,88,8.744,14.975,2.3303,0.0,6.4137,6.231,estimated,36
three_tier_to,18,1,device,11.355,8661,85,8.8756,15.5968,2.4619,0.0,6.4137,6.7212,estimated,36
three_tier_to,29,1,device,18.926,10944,320,4.7844,8.0273,0.0,0.0,4.7844,3.2429,estimated,36
three_tier_to,57,1,device,13.178,8534,86,8.1025,13.8411,1.6888,0.0,6.4137,5.7386,estimated,37
three_tier_to,42,1,device,13.043,9859,67,8.161,14.049,1.7473,0.0,6.4137,5.888,estimated,36
three_tier_to,10,1,device,12.739,10443,75,8.2554,14.6157,1.8417,0.0,6.4137,6.3603,estimated,36
three_tier_to,28,1,device,13.287,8610,34,7.9938,14.2158,1.5801,0.0,6.4137,6.222,estimated,37
three_tier_to,20,1,device,15.76,10572,76,6.2389,11.8891,0.0,0.0,6.2389,5.6502,estimated,36
three_tier_to,14,1,device,16.777,8641,65,5.5629,10.9096,0.0,0.0,5.5629,5.3467,estimated,36
three_tier_to,56,1,device,12.146,12920,56,8.8482,15.764,2.4345,0.0,6.4137,6.9158,estimated,36
three_tier_to,15,1,device,20.321,10269,221,4.3222,7.5901,0.0,0.0,4.3222,3.2679,estimated,36
three_tier_to,24,1,device,18.675,10366,62,4.2069,9.2709,0.0,0.0,4.2069,5.064,estimated,36
three_tier_to,34,1,device,13.318,9789,61,7.9625,14.857,1.5488,0.0,6.4137,6.8945,estimated,36
three_tier_to,2,1,device,16.178,10624,64,5.8994,11.9978,0.0,0.0,5.8994,6.0984,estimated,36
three_tier_to,75,1,device,20.518,9880,88,4.3518,7.7022,0.0,0.0,4.3518,3.3504,estimated,36
three_tier_to,49,1,device,13.746,8989,93,7.6064,14.6146,1.1927,0.0,6.4137,7.0082,estimated,36
three_tier_to,35,1,device,13.897,8924,92,7.5266,14.5297,1.1129,0.0,6.4137,7.0031,estimated,37
three_tier_to,17,1,device,15.289,8928,96,6.7101,13.1388,0.2964,0.0,6.4137,6.4287,estimated,36
three_tier_to,52,1,device,14.873,11039,95,6.9775,13.7889,0.5638,0.0,6.4137,6.8114,estimated,36
three_tier_to,13,1,device,13.665,9049,89,7.6165,14.9977,1.2028,0.0,6.4137,7.3812,estimated,36
three_tier_to,38,1,device,16.276,8340,84,6.0636,12.4545,0.0,0.0,6.0636,6.3909,estimated,36
three_tier_to,67,1,device,18.668,8568,56,4.2144,10.0626,0.0,0.0,4.2144,5.8482,estimated,36
three_tier_to,74,1,device,19.455,11358,94,4.336,9.3738,0.0,0.0,4.336,5.0378,estimated,36
three_tier_to,30,1,device,13.801,8394,74,7.5511,15.2469,1.1374,0.0,6.4137,7.6958,estimated,37
three_tier_to,6,1,device,20.657,10138,218,4.6678,8.4089,0.0,0.0,4.6678,3.7411,estimated,36
three_tier_to,59,1,device,21.077,10791,423,4.6616,7.9894,0.0,0.0,4.6616,3.3278,estimated,36
three_tier_to,7,1,device,13.92,8556,44,7.6796,15.5408,1.2659,0.0,6.4137,7.8612,estimated,37
three_tier_to,26,1,device,15.841,9259,43,6.2362,13.6556,0.0,0.0,6.2362,7.4194,estimated,36
three_tier_to,126,1,device,21.967,8370,50,4.398,7.5308,0.0,0.0,4.398,3.1328,estimated,36
three_tier_to,68,1,device,18.468,8317,61,4.2617,11.1452,0.0,0.0,4.2617,6.8835,estimated,36
three_tier_to,107,1,device,20.13,11859,83,3.993,9.4834,0.0,0.0,3.993,5.4904,estimated,36
three_tier_to,117,1,device,22.035,10287,47,4.4095,7.5823,0.0,0.0,4.4095,3.1728,estimated,36
three_tier_to,45,1,device,14.938,11067,59,6.9122,14.7281,0.4985,0.0,6.4137,7.8159,estimated,36
three_tier_to,39,1,device,22.246,11006,318,4.4663,7.6586,0.0,0.0,4.4663,3.1923,estimated,36
three_tier_to,64,1,device,18.009,10040,56,4.3978,11.9291,0.0,0.0,4.3978,7.5313,estimated,36
