kind,t0,t1,tokens,ms,key
d2h,12.085298776626587,12.252298831939697,7808,80.6,
d2h,12.08729863166809,12.25329875946045,384,3.9,
d2h,12.088298797607422,12.25329875946045,256,2.6,
d2h,12.091298818588257,12.25329875946045,3712,38.4,
d2h,12.249298810958862,17.73629879951477,2304,23.5,
d2h,17.7302987575531,28.198298692703247,5824,60.7,
d2h,17.731298685073853,28.199298620224,384,4.6,
d2h,17.733298778533936,28.199298620224,6144,79.6,
d2h,22.93329882621765,33.42729878425598,1536,15.8,
d2h,22.934298753738403,33.42729878425598,1792,41.4,
d2h,22.936298608779907,33.42729878425598,2816,31.5,
d2h,22.93829870223999,33.42829871177673,768,39.9,
d2h,22.940298795700073,33.42829871177673,832,8.8,
d2h,28.18829870223999,38.61029863357544,1728,17.8,
d2h,28.189298629760742,38.61029863357544,1280,33.8,
d2h,28.191298723220825,38.61029863357544,2752,29.7,
d2h,28.193298816680908,38.61029863357544,3264,34.5,
d2h,33.417298793792725,38.61129879951477,704,7.2,
d2h,33.41829872131348,39.805298805236816,1984,22.3,
d2h,33.42029881477356,39.80629873275757,896,12.4,
d2h,33.42229866981506,39.80629873275757,1344,17.6,
d2h,38.595298767089844,39.80629873275757,3776,38.8,
d2h,38.596298694610596,39.80629873275757,320,3.3,
d2h,38.59829878807068,39.80629873275757,576,5.9,
d2h,38.60029864311218,39.80729866027832,2048,21.0,
d2h,38.602298736572266,39.80729866027832,640,6.6,
d2h,38.60329866409302,39.80729866027832,896,9.2,
d2h,38.6052987575531,39.80729866027832,448,4.6,
d2h,38.607298612594604,39.80729866027832,2112,21.4,
d2h,39.80229878425598,39.85629868507385,704,7.5,
d2h,39.80329871177673,39.85629868507385,1536,15.8,
d2h,42.32329869270325,42.32529878616333,64,0.9,
evict_device,42.381298780441284,42.381298780441284,1408,,
d2h,43.518298625946045,43.57529878616333,1216,12.6,
d2h,43.52029871940613,43.57529878616333,384,3.9,
d2h,43.632298707962036,43.63429880142212,64,0.8,
evict_device,43.63529872894287,43.63529872894287,384,,
d2h,43.68929862976074,43.691298723220825,64,1.0,
evict_device,43.69329881668091,43.69329881668091,3776,,
evict_device,43.745298624038696,43.745298624038696,704,,
d2h,46.67129874229431,46.7302987575531,3200,32.7,
d2h,46.673298835754395,46.7302987575531,384,3.9,
d2h,46.67429876327515,46.7302987575531,768,7.9,
d2h,47.01129865646362,47.012298822402954,64,0.8,
evict_device,47.01429867744446,47.01429867744446,1600,,
d2h,47.12329864501953,47.125298738479614,64,0.8,
d2h,47.23529863357544,48.96629881858826,64,0.7,
evict_device,47.238298654556274,47.238298654556274,3520,,
d2h,48.96329879760742,49.019298791885376,2560,26.2,
d2h,50.00529861450195,50.007298707962036,64,0.8,
d2h,50.16929864883423,50.17129874229431,64,1.0,
evict_device,50.226298809051514,50.226298809051514,4480,,
d2h,54.33829879760742,54.4012987613678,6016,61.4,
d2h,55.221298694610596,55.22329878807068,128,1.5,
evict_device,55.27729868888855,55.27729868888855,384,,
evict_device,55.331298828125,55.331298828125,576,,
d2h,56.61029863357544,56.66529870033264,1920,19.8,
d2h,56.7762987613678,56.77929878234863,64,0.8,
d2h,56.77729868888855,56.77929878234863,64,1.1,
evict_device,56.780298709869385,56.780298709869385,896,,
d2h,56.83029866218567,56.83229875564575,128,1.5,
load_back_init,56.834298610687256,56.834298610687256,1408,,cmp_hbm_host-c14-t1
h2d,56.88629865646362,56.930298805236816,1408,33.0,
evict_device,56.887298822402954,56.887298822402954,704,,
d2h,56.929298639297485,57.23629879951477,128,1.3,
evict_device,56.93229866027832,56.93229866027832,1920,,
d2h,57.233298778533936,57.28929877281189,448,4.8,
evict_device,57.23729872703552,57.23729872703552,1664,,
load_back_init,57.238298654556274,57.238298654556274,4160,,cmp_hbm_host-c15-t1
evict_device,57.239298820495605,57.239298820495605,1984,,
load_back_init,57.24029874801636,57.24029874801636,704,,cmp_hbm_host-c0-t1
h2d,57.244298696517944,57.477298736572266,4864,72.9,
evict_device,57.29029870033264,57.29029870033264,704,,
d2h,57.47329878807068,57.476298809051514,64,0.8,
d2h,57.69229865074158,57.69329881668091,64,1.0,
d2h,57.85629868507385,57.857298612594604,128,1.5,
evict_device,57.911298751831055,57.911298751831055,832,,
load_back_init,57.911298751831055,57.911298751831055,2304,,cmp_hbm_host-c22-t1
h2d,57.91529870033264,58.06129860877991,2304,31.6,
d2h,57.965298652648926,58.060298681259155,64,0.7,
evict_device,57.96829867362976,57.96829867362976,1024,,
load_back_init,58.06229877471924,58.06229877471924,640,,cmp_hbm_host-c16-t1
evict_device,58.06329870223999,58.06329870223999,6208,,
load_back_init,58.06329870223999,58.06329870223999,2880,,cmp_hbm_host-c6-t1
h2d,58.06729865074158,58.304298639297485,3520,63.7,
d2h,58.29929876327515,58.30329871177673,64,1.0,
d2h,58.30129861831665,58.304298639297485,64,0.8,
d2h,58.46229863166809,58.46629881858826,128,1.6,
d2h,58.464298725128174,58.46629881858826,128,1.7,
load_back_init,58.51729869842529,58.51729869842529,2816,,cmp_hbm_host-c10-t1
evict_device,58.518298625946045,58.518298625946045,128,,
load_back_init,58.519298791885376,58.519298791885376,960,,cmp_hbm_host-c19-t1
evict_device,58.52029871940613,58.52029871940613,1280,,
load_back_init,58.52029871940613,58.52029871940613,384,,cmp_hbm_host-c26-t1
load_back_init,58.52129864692688,58.52129864692688,576,,cmp_hbm_host-c20-t1
evict_device,58.52229881286621,58.52229881286621,1728,,
load_back_init,58.52229881286621,58.52229881286621,896,,cmp_hbm_host-c8-t1
load_back_init,58.52329874038696,58.52329874038696,832,,cmp_hbm_host-c7-t1
h2d,58.5262987613678,59.14029860496521,6464,158.8,
evict_device,58.5282986164093,58.5282986164093,2240,,
d2h,59.12829875946045,59.13929867744446,128,1.6,
d2h,59.13029861450195,59.13929867744446,192,2.2,
d2h,59.132298707962036,59.14029860496521,64,0.8,
d2h,59.13329863548279,59.14029860496521,64,0.8,
d2h,59.13529872894287,59.14029860496521,64,0.8,
d2h,59.137298822402954,59.14029860496521,64,0.8,
d2h,59.46229863166809,59.464298725128174,128,1.7,
evict_device,59.465298652648926,59.465298652648926,128,,
evict_device,59.57529878616333,59.57529878616333,3712,,
d2h,59.632298707962036,59.63429880142212,128,1.5,
load_back_init,60.019298791885376,60.019298791885376,3840,,cmp_hbm_host-c1-t1
h2d,60.02229881286621,60.179298639297485,3840,50.7,
evict_device,60.072298765182495,60.072298765182495,3392,,
d2h,60.34929871559143,60.351298809051514,128,1.6,
d2h,60.791298627853394,60.79429864883423,192,2.2,
d2h,60.98529863357544,60.98729872703552,128,1.5,
d2h,61.095298767089844,61.09729862213135,128,1.6,
d2h,61.81329870223999,61.81529879570007,64,0.8,
d2h,61.870298624038696,61.87229871749878,64,0.9,
d2h,61.92729878425598,61.929298639297485,128,1.7,
d2h,62.57929873466492,62.581298828125,64,0.8,
d2h,62.79929876327515,62.80129861831665,64,0.8,
d2h,62.85429883003235,62.8552987575531,64,0.9,
