kind,t0,t1,tokens,ms,key
s2h,-3.1229171752929688,,,,65ecbbbbdc2645f1b5ec42e30011446e
s2h,-2.729917049407959,,,,HEALTH_CHECK_5c4f0c60c0e947af9ff2cd6209a5b083
s2h,-1.7039170265197754,,,,HEALTH_CHECK_8e563172694143f885535484f94b3be9
s2h,0.05208277702331543,,,,cmp_three_tier-c0-t0
s2h,0.1130828857421875,,,,cmp_three_tier-c1-t0
d2h,9.505082845687866,9.637082815170288,7808,80.8,
d2h,9.508082866668701,9.637082815170288,384,4.0,
d2h,9.509082794189453,9.637082815170288,256,2.6,
d2h,9.629082918167114,20.649082899093628,3712,38.0,
d2h,9.631082773208618,20.65008282661438,2304,28.2,
h2s,9.634082794189453,15.102082967758179,7808,2495.0,2
h2s,9.637082815170288,15.102082967758179,384,131.0,3
h2s,9.637082815170288,15.10308289527893,256,82.0,4
d2h,15.096082925796509,20.65008282661438,2048,20.9,
d2h,15.09708285331726,20.65008282661438,4160,42.3,
d2h,20.642082929611206,31.03108286857605,3968,40.7,
d2h,20.643082857131958,31.03108286857605,2176,23.2,
d2h,20.64508295059204,31.03108286857605,3328,37.4,
h2s,20.648082971572876,25.803082942962646,3712,1179.0,5
h2s,20.65008282661438,25.803082942962646,2304,737.0,6
h2s,20.65008282661438,25.803082942962646,2048,655.0,7
h2s,20.65008282661438,25.803082942962646,4160,1332.0,8
d2h,25.790082931518555,36.35408282279968,2560,26.3,
d2h,25.791082859039307,36.35408282279968,256,17.4,
d2h,25.79308295249939,36.355082750320435,768,8.3,
d2h,25.795082807540894,36.355082750320435,832,9.5,
d2h,25.797082901000977,36.355082750320435,3008,32.6,
d2h,25.80008292198181,36.355082750320435,2752,59.5,
d2h,31.017082929611206,36.356082916259766,256,2.6,
d2h,31.018082857131958,39.89308285713196,3008,31.4,
d2h,31.021082878112793,39.89408278465271,2688,30.4,
d2h,31.023082971572876,39.89408278465271,896,26.4,
d2h,31.02508282661438,39.89408278465271,1344,14.4,
h2s,31.029082775115967,36.356082916259766,3968,1261.0,9
h2s,31.03108286857605,36.356082916259766,2176,696.0,10
h2s,31.03108286857605,36.356082916259766,3328,1065.0,11
d2h,36.343082904815674,39.89508295059204,4096,41.7,
d2h,36.34608292579651,39.89508295059204,576,5.9,
d2h,36.34808278083801,39.89508295059204,2048,20.8,
d2h,36.350082874298096,39.89608287811279,640,6.5,
h2s,36.35308289527893,39.89608287811279,2560,812.0,12
h2s,36.35408282279968,39.89608287811279,256,82.0,13
h2s,36.35408282279968,39.89608287811279,768,246.0,14
h2s,36.355082750320435,39.89608287811279,832,265.0,15
h2s,36.355082750320435,39.89608287811279,3008,963.0,16
h2s,36.355082750320435,39.89608287811279,2752,881.0,17
h2s,36.356082916259766,39.89608287811279,256,81.0,18
d2h,39.88208293914795,39.89608287811279,576,6.2,
d2h,39.8830828666687,39.89608287811279,320,3.3,
d2h,39.885082960128784,39.94108295440674,448,4.6,
d2h,39.88708281517029,39.94208288192749,2112,21.5,
d2h,39.88908290863037,39.94208288192749,2240,22.7,
h2s,39.892082929611206,40.868082761764526,3008,956.0,19
h2s,39.89408278465271,41.74608278274536,2688,863.0,20
h2s,39.89408278465271,42.02008295059204,896,286.0,21
h2s,39.89408278465271,42.45908284187317,1344,430.0,22
h2s,39.89408278465271,43.77608275413513,4096,1311.0,23
h2s,39.89508295059204,46.76908278465271,576,184.0,24
h2s,39.89508295059204,46.76908278465271,2048,655.0,25
h2s,39.89508295059204,46.76908278465271,640,205.0,26
h2s,39.89608287811279,46.76908278465271,576,183.0,27
h2s,39.89608287811279,46.77008295059204,320,103.0,28
h2s,39.94108295440674,46.77008295059204,448,143.0,29
h2s,39.94108295440674,46.77008295059204,2112,676.0,30
h2s,39.94208288192749,46.77008295059204,2240,720.0,31
d2h,42.4050829410553,42.4070827960968,64,0.9,
h2s,42.40608286857605,46.77008295059204,64,19.0,32
evict_device,42.463082790374756,42.463082790374756,1408,,
d2h,43.60108280181885,43.659082889556885,1216,12.6,
d2h,43.60308289527893,43.659082889556885,384,3.9,
s2h,43.60708284378052,,,,cmp_three_tier-c14-t1
h2s,43.659082889556885,47.04408288002014,1216,389.0,33
h2s,43.659082889556885,47.15608286857605,384,122.0,34
d2h,43.71608281135559,43.718082904815674,64,0.9,
h2s,43.718082904815674,47.21608281135559,64,21.0,35
evict_device,43.72008275985718,43.72008275985718,4160,,
d2h,43.773082971572876,43.77608275413513,64,0.9,
h2s,43.77508282661438,47.21608281135559,64,21.0,36
evict_device,43.82908296585083,43.82908296585083,704,,
d2h,46.761082887649536,46.820082902908325,3200,32.7,
d2h,46.76308298110962,46.820082902908325,384,3.9,
d2h,46.76408290863037,46.820082902908325,768,8.0,
s2h,46.76808285713196,,,,cmp_three_tier-c15-t1
s2h,46.76908278465271,,,,cmp_three_tier-c0-t1
h2s,46.820082902908325,49.05608296394348,3200,1015.0,37
h2s,46.820082902908325,49.05608296394348,384,131.0,38
h2s,46.820082902908325,49.05608296394348,768,246.0,39
d2h,47.100082874298096,47.10308289527893,64,0.9,
h2s,47.10208296775818,49.05608296394348,64,19.0,40
evict_device,47.10408282279968,47.10408282279968,2304,,
d2h,47.213082790374756,47.21508288383484,64,0.9,
h2s,47.21508288383484,49.05608296394348,64,21.0,41
d2h,47.325082778930664,49.05508279800415,64,0.7,
evict_device,47.3280827999115,47.3280827999115,2816,,
d2h,49.05108284950256,49.10708284378052,2560,26.2,
s2h,49.0540828704834,,,,cmp_three_tier-c22-t1
h2s,49.05508279800415,49.10808277130127,64,12.0,42
h2s,49.106082916259766,49.92808294296265,2560,813.0,43
d2h,50.093082904815674,50.09508275985718,64,0.9,
h2s,50.09508275985718,50.147082805633545,64,12.0,44
d2h,50.25708293914795,50.260082960128784,64,0.9,
h2s,50.25908279418945,50.31208276748657,64,11.0,45
evict_device,50.31508278846741,50.31508278846741,4480,,
d2h,54.42508292198181,54.48908281326294,6016,61.5,
s2h,54.42808294296265,,,,cmp_three_tier-c16-t1
s2h,54.4290828704834,,,,cmp_three_tier-c6-t1
h2s,54.487082958221436,56.69808292388916,6016,1919.0,46
s2h,54.53808283805847,,,,cmp_three_tier-c10-t1
s2h,54.7030827999115,,,,cmp_three_tier-c19-t1
d2h,55.308082818984985,55.31008291244507,128,1.6,
h2s,55.31008291244507,56.69908285140991,128,40.0,47
evict_device,55.36308288574219,55.36308288574219,384,,
evict_device,55.41708278656006,55.41708278656006,576,,
d2h,56.69408297538757,56.75108289718628,1920,19.7,
s2h,56.69708275794983,,,,cmp_three_tier-c26-t1
s2h,56.69808292388916,,,,cmp_three_tier-c20-t1
h2s,56.75008296966553,57.37608289718628,1920,607.0,48
d2h,56.86008286476135,56.86308288574219,64,0.8,
d2h,56.861082792282104,56.86408281326294,64,1.0,
h2s,56.86308288574219,57.559082984924316,64,19.0,49
h2s,56.86408281326294,57.559082984924316,64,21.0,50
evict_device,56.86508297920227,56.86508297920227,896,,
d2h,56.915082931518555,56.91708278656006,128,1.5,
h2s,56.91608285903931,57.559082984924316,128,40.0,51
load_back_init,56.91808295249939,56.91808295249939,1408,,cmp_three_tier-c14-t1
h2d,56.97108292579651,57.016082763671875,1408,34.5,
evict_device,56.97208285331726,56.97208285331726,704,,
