conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
14,0,0.009,33.41971292599919,42.3213,device,9172,7808,1364,0,0,0.0,cmp_hbm_host-c14-t0
15,0,0.009,38.605175395001424,43.6295,device,11951,7808,4143,0,0,0.0,cmp_hbm_host-c15-t0
0,0,0.001,12.097950437993859,43.6945,cold,8472,0,8472,0,0,0.0,cmp_hbm_host-c0-t0
22,0,0.013,39.7945713569934,47.006,device,10077,7808,2269,0,0,0.0,cmp_hbm_host-c22-t0
10,0,0.007,28.19290136899508,47.1234,device,10564,7808,2756,0,0,0.0,cmp_hbm_host-c10-t0
19,0,0.012,38.603528427003766,47.2301,device,8738,7808,930,0,0,0.0,cmp_hbm_host-c19-t0
16,0,0.01,38.60515865399793,50.0025,device,8402,7808,594,0,0,0.0,cmp_hbm_host-c16-t0
6,0,0.005,22.942347771007917,50.1713,device,10630,7808,2822,0,0,0.0,cmp_hbm_host-c6-t0
26,0,0.015,46.66501015200629,54.9935,device,8192,7808,384,0,0,0.0,cmp_hbm_host-c26-t0
20,0,0.012,38.60302506000153,55.216,device,8311,7808,503,0,0,0.0,cmp_hbm_host-c20-t0
18,0,0.011,38.6040852599981,56.773,device,8465,7808,657,0,0,0.0,cmp_hbm_host-c18-t0
8,0,0.006,22.941678408998996,56.7786,device,8651,7808,843,0,0,0.0,cmp_hbm_host-c8-t0
5,0,0.004,22.943352925998624,56.8328,device,11187,7808,3379,0,0,0.0,cmp_hbm_host-c5-t0
12,0,0.008,33.42064300298807,56.9272,device,10558,7808,2750,0,0,0.0,cmp_hbm_host-c12-t0
7,0,0.005,22.94202225099434,57.6924,device,8588,7808,780,0,0,0.0,cmp_hbm_host-c7-t0
13,0,0.008,33.42032683499565,57.8536,device,8763,7808,955,0,0,0.0,cmp_hbm_host-c13-t0
4,0,0.004,17.734492644987768,57.9681,device,13960,7808,6152,0,0,0.0,cmp_hbm_host-c4-t0
21,0,0.012,38.602495226004976,58.4581,device,9952,7808,2144,0,0,0.0,cmp_hbm_host-c21-t0
9,0,0.006,28.19319055401138,58.4646,device,10863,7808,3055,0,0,0.0,cmp_hbm_host-c9-t0
1,0,0.002,12.097203195997281,59.467,device,11529,7808,3721,0,0,0.0,cmp_hbm_host-c1-t0
11,0,0.007,28.192291810002644,59.6313,device,11106,7808,3298,0,0,0.0,cmp_hbm_host-c11-t0
23,0,0.014,43.51194976299303,60.3421,device,9069,7808,1261,0,0,0.0,cmp_hbm_host-c23-t0
17,0,0.011,38.60460426300415,60.7883,device,9916,7808,2108,0,0,0.0,cmp_hbm_host-c17-t0
24,0,0.014,43.51155275499332,60.9779,device,8235,7808,427,0,0,0.0,cmp_hbm_host-c24-t0
2,0,0.002,12.250896270008525,61.0996,device,10130,7808,2322,0,0,0.0,cmp_hbm_host-c2-t0
14,1,42.754,14.488155860992265,19.1224,host,9256,9216,40,1408,0,0.423,cmp_hbm_host-c14-t1
27,0,0.015,46.66473814500205,61.9189,device,8628,7808,820,0,0,0.0,cmp_hbm_host-c27-t0
16,1,50.44,7.866060977001325,12.3658,host,8521,8448,73,640,0,0.427,cmp_hbm_host-c16-t1
26,1,55.373,3.770590373998857,7.4872,host,8276,8192,84,384,0,0.364,cmp_hbm_host-c26-t1
19,1,54.539,4.604754768995917,8.3763,host,8992,8768,224,960,0,7.297,cmp_hbm_host-c19-t1
30,0,0.019,56.59586540098826,63.3856,device,9753,7808,1945,0,0,0.0,cmp_hbm_host-c30-t0
28,0,0.016,48.9519582070061,63.6036,device,10422,7808,2614,0,0,0.0,cmp_hbm_host-c28-t0
22,1,47.398,10.664189579998492,16.3295,host,10173,10112,61,2304,0,0.379,cmp_hbm_host-c22-t1
3,0,0.003,17.735236816006363,63.7255,device,14022,7808,6214,0,0,0.0,cmp_hbm_host-c3-t0
0,1,44.153,13.326357021986041,19.6278,host,8561,8512,49,704,0,0.457,cmp_hbm_host-c0-t1
29,0,0.016,54.3267021280044,65.0995,device,13824,7808,6016,0,0,0.0,cmp_hbm_host-c29-t0
10,1,54.397,4.746361773999524,11.5272,host,10814,10624,190,2816,0,7.266,cmp_hbm_host-c10-t1
15,1,44.039,13.440237383998465,22.1047,host,12039,11968,71,4160,0,0.399,cmp_hbm_host-c15-t1
31,0,0.019,57.22346784800175,66.6593,device,8280,7808,472,0,0,0.0,cmp_hbm_host-c31-t0
6,1,50.617,7.68904104399553,16.4463,host,10752,10688,64,2880,0,0.44,cmp_hbm_host-c6-t1
8,1,57.21,1.9336176770011662,10.6328,host,8796,8704,92,896,0,0.425,cmp_hbm_host-c8-t1
7,1,58.18,0.9641317370114848,10.156,host,8740,8640,100,832,0,0.481,cmp_hbm_host-c7-t1
20,1,55.656,3.48759878501005,12.8987,host,8451,8384,67,576,0,0.427,cmp_hbm_host-c20-t1
