conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
14,0,0.009,33.296807930004434,42.0955,device,9172,7808,1364,0,0,0.0,cmp_hbm_lru-c14-t0
15,0,0.009,38.483050843991805,43.4043,device,11951,7808,4143,0,0,0.0,cmp_hbm_lru-c15-t0
0,0,0.001,6.643653719002032,43.4695,cold,8472,0,8472,0,0,0.0,cmp_hbm_lru-c0-t0
22,0,0.013,39.565571721002925,46.7873,device,10077,7808,2269,0,0,0.0,cmp_hbm_lru-c22-t0
10,0,0.007,28.057431043998804,46.9053,device,10564,7808,2756,0,0,0.0,cmp_hbm_lru-c10-t0
19,0,0.011,38.48171063599875,47.0114,device,8738,7808,930,0,0,0.0,cmp_hbm_lru-c19-t0
16,0,0.01,38.48337859100138,49.7837,device,8402,7808,594,0,0,0.0,cmp_hbm_lru-c16-t0
6,0,0.005,22.803990877000615,49.9523,device,10630,7808,2822,0,0,0.0,cmp_hbm_lru-c6-t0
26,0,0.015,46.445039065991296,54.7766,device,8192,7808,384,0,0,0.0,cmp_hbm_lru-c26-t0
20,0,0.012,38.481137936003506,54.9987,device,8311,7808,503,0,0,0.0,cmp_hbm_lru-c20-t0
8,0,0.006,22.80318826599978,56.5583,device,8651,7808,843,0,0,0.0,cmp_hbm_lru-c8-t0
18,0,0.011,38.48227670400229,56.5539,device,8465,7808,657,0,0,0.0,cmp_hbm_lru-c18-t0
5,0,0.004,22.804951069003437,56.6139,device,11187,7808,3379,0,0,0.0,cmp_hbm_lru-c5-t0
12,0,0.008,33.29773473800742,56.6641,device,10558,7808,2750,0,0,0.0,cmp_hbm_lru-c12-t0
7,0,0.005,22.803718083989224,61.5278,device,8588,7808,780,0,0,0.0,cmp_hbm_lru-c7-t0
13,0,0.008,33.29741507800645,61.689,device,8763,7808,955,0,0,0.0,cmp_hbm_lru-c13-t0
4,0,0.004,17.589120319011272,61.8028,device,13960,7808,6152,0,0,0.0,cmp_hbm_lru-c4-t0
21,0,0.012,38.48027580900816,66.0086,device,9952,7808,2144,0,0,0.0,cmp_hbm_lru-c21-t0
9,0,0.006,28.058141868998064,66.015,device,10863,7808,3055,0,0,0.0,cmp_hbm_lru-c9-t0
1,0,0.002,6.6426026440021815,71.2859,device,11529,7808,3721,0,0,0.0,cmp_hbm_lru-c1-t0
11,0,0.007,28.057061021012487,74.0392,device,11106,7808,3298,0,0,0.0,cmp_hbm_lru-c11-t0
23,0,0.013,43.28354215199943,74.6422,device,9069,7808,1261,0,0,0.0,cmp_hbm_lru-c23-t0
17,0,0.01,38.482830860011745,77.5278,device,9916,7808,2108,0,0,0.0,cmp_hbm_lru-c17-t0
24,0,0.014,43.283132281008875,77.6378,device,8235,7808,427,0,0,0.0,cmp_hbm_lru-c24-t0
2,0,0.002,12.120343406000757,78.5478,device,10130,7808,2322,0,0,0.0,cmp_hbm_lru-c2-t0
14,1,42.528,15.419492870001704,36.5356,device,9256,7808,1448,0,0,0.423,cmp_hbm_lru-c14-t1
27,0,0.015,46.444777049007826,79.0858,device,8628,7808,820,0,0,0.0,cmp_hbm_lru-c27-t0
16,1,50.221,15.631082182997488,34.1389,device,8521,7808,713,0,0,0.427,cmp_hbm_lru-c16-t1
26,1,55.156,15.796163835999323,29.2587,device,8276,7808,468,0,0,0.364,cmp_hbm_lru-c26-t1
19,1,54.32,16.631771928005037,30.1492,device,8992,7808,1184,0,0,7.297,cmp_hbm_lru-c19-t1
12,1,63.928,10.053672015012125,20.8669,device,10859,7808,3051,0,0,7.255,cmp_hbm_lru-c12-t1
18,1,63.862,10.119685975994798,21.0389,device,8764,7808,956,0,0,7.296,cmp_hbm_lru-c18-t1
30,0,0.019,56.37728791599511,87.5607,device,9753,7808,1945,0,0,0.0,cmp_hbm_lru-c30-t0
28,0,0.016,48.733458294998854,90.0295,device,10422,7808,2614,0,0,0.0,cmp_hbm_lru-c28-t0
3,0,0.003,17.589875108009437,90.1485,device,14022,7808,6214,0,0,0.0,cmp_hbm_lru-c3-t0
22,1,47.18,16.224197457995615,42.9719,device,10173,7808,2365,0,0,0.379,cmp_hbm_lru-c22-t1
0,1,43.928,17.383288361001178,48.8552,device,8561,7808,753,0,0,0.457,cmp_hbm_lru-c0-t1
5,1,63.939,13.260906645999057,35.5764,device,11487,7808,3679,0,0,7.319,cmp_hbm_lru-c5-t1
29,0,0.016,54.109870468004374,102.3623,device,13824,7808,6016,0,0,0.0,cmp_hbm_lru-c29-t0
13,1,68.991,9.441611218993785,35.501,device,9072,7808,1264,0,0,7.29,cmp_hbm_lru-c13-t1
10,1,54.179,16.77318047299923,50.313,device,10814,7808,3006,0,0,7.266,cmp_hbm_lru-c10-t1
15,1,43.814,17.497265740006696,65.3799,device,12039,7808,4231,0,0,0.399,cmp_hbm_lru-c15-t1
31,0,0.019,57.92849525700149,112.4232,device,8280,7808,472,0,0,0.0,cmp_hbm_lru-c31-t0
6,1,50.398,15.454231349998736,62.433,device,10752,7808,2944,0,0,0.44,cmp_hbm_lru-c6-t1
4,1,68.992,14.644976821989985,44.0057,device,14271,7808,6463,0,0,7.184,cmp_hbm_lru-c4-t1
8,1,56.99,13.962579717001063,63.4027,device,8796,7808,988,0,0,0.425,cmp_hbm_lru-c8-t1
7,1,62.016,8.936423323990311,58.655,device,8740,7808,932,0,0,0.481,cmp_hbm_lru-c7-t1
20,1,55.438,15.514284490986029,65.4553,device,8451,7808,643,0,0,0.427,cmp_hbm_lru-c20-t1
9,1,73.243,16.582755929004634,47.7062,device,11178,7808,3370,0,0,7.219,cmp_hbm_lru-c9-t1
25,0,0.014,46.445628681001836,125.5144,device,11065,7808,3257,0,0,0.0,cmp_hbm_lru-c25-t0
21,1,73.297,19.436517365989857,52.3972,device,10267,7808,2459,0,0,7.274,cmp_hbm_lru-c21-t1
11,1,81.334,18.124424932990223,44.4156,device,11432,7808,3624,0,0,7.285,cmp_hbm_lru-c11-t1
14,2,86.142,15.902796808004496,45.3091,device,9505,7808,1697,0,0,7.076,cmp_hbm_lru-c14-t2
19,2,91.337,20.824333608004963,43.1347,device,10493,7808,2685,0,0,6.866,cmp_hbm_lru-c19-t2
26,2,91.504,20.65729109599488,43.9648,device,8525,7808,717,0,0,7.088,cmp_hbm_lru-c26-t2
22,2,97.216,22.887013796993415,38.4721,device,10444,7808,2636,0,0,7.063,cmp_hbm_lru-c22-t2
17,1,77.907,19.060713636004948,57.8353,device,10107,7808,2299,0,0,0.368,cmp_hbm_lru-c17-t1
16,2,91.423,20.73834803099453,47.7736,device,8774,7808,966,0,0,7.062,cmp_hbm_lru-c16-t2
0,2,99.702,20.40039982799499,39.6897,device,8810,7808,1002,0,0,6.918,cmp_hbm_lru-c0-t2
24,1,78.083,18.88475687400205,61.4518,device,8380,7808,572,0,0,0.429,cmp_hbm_lru-c24-t1
18,2,91.792,26.656956296996213,47.7891,device,10265,7808,2457,0,0,6.89,cmp_hbm_lru-c18-t2
30,1,87.988,14.056628332997207,57.5127,device,9879,7808,2071,0,0,0.408,cmp_hbm_lru-c30-t1
23,1,75.009,17.724543136995635,70.5377,device,9204,7808,1396,0,0,0.352,cmp_hbm_lru-c23-t1
12,2,91.654,26.794591159996344,56.1248,device,12361,7808,4553,0,0,6.858,cmp_hbm_lru-c12-t2
13,2,111.338,19.83263873300166,39.8929,device,10578,7808,2770,0,0,6.843,cmp_hbm_lru-c13-t2
28,1,90.481,13.785768554997048,61.8568,device,10594,7808,2786,0,0,0.435,cmp_hbm_lru-c28-t1
27,1,79.528,17.439655987007427,72.8553,device,8781,7808,973,0,0,0.426,cmp_hbm_lru-c27-t1
10,2,111.363,22.332407430993044,45.6325,device,11021,7808,3213,0,0,6.869,cmp_hbm_lru-c10-t2
3,1,90.55,18.528666534999502,66.5838,device,14258,7808,6450,0,0,0.398,cmp_hbm_lru-c3-t1
15,2,116.11,22.70762649300741,47.5328,device,12340,7808,4532,0,0,6.912,cmp_hbm_lru-c15-t2
1,1,71.778,15.744213468002272,94.561,device,11698,7808,3890,0,0,0.489,cmp_hbm_lru-c1-t1
2,1,79.025,17.94235389000096,91.0971,device,10325,7808,2517,0,0,0.474,cmp_hbm_lru-c2-t1
6,2,119.949,27.78096699199523,50.4094,device,11057,7808,3249,0,0,7.117,cmp_hbm_lru-c6-t2
25,1,126.083,25.05422332099988,48.8531,device,11307,7808,3499,0,0,0.552,cmp_hbm_lru-c25-t1
4,2,119.744,25.521993064001435,55.2402,cold,15782,7808,7974,0,0,6.745,cmp_hbm_lru-c4-t2
8,2,127.478,23.65871554199839,52.2511,device,9106,7808,1298,0,0,7.082,cmp_hbm_lru-c8-t2
5,2,106.354,24.816152230996522,73.4285,device,12984,7808,5176,0,0,6.838,cmp_hbm_lru-c5-t2
7,2,127.719,24.384993519997806,52.1142,device,9055,7808,1247,0,0,7.047,cmp_hbm_lru-c7-t2
20,2,127.994,28.397128178999992,51.8398,device,8770,7808,962,0,0,7.099,cmp_hbm_lru-c20-t2
29,1,102.898,22.514596127992263,83.4582,device,13985,7808,6177,0,0,0.517,cmp_hbm_lru-c29-t1
31,1,112.938,22.029932294011815,81.2219,device,8435,7808,627,0,0,0.494,cmp_hbm_lru-c31-t1
11,2,132.59,30.72726542199962,61.7243,device,12935,7808,5127,0,0,6.84,cmp_hbm_lru-c11-t2
9,2,127.765,28.625792776001617,69.974,device,12685,7808,4877,0,0,6.816,cmp_hbm_lru-c9-t2
21,2,132.549,30.022149987999,65.2409,device,11774,7808,3966,0,0,6.853,cmp_hbm_lru-c21-t2
0,3,146.203,33.365662815995165,59.4887,device,8952,7808,1144,0,0,6.81,cmp_hbm_lru-c0-t3
17,2,142.853,31.88313133099291,62.9412,device,10398,7808,2590,0,0,7.11,cmp_hbm_lru-c17-t2
22,3,142.549,32.18729566500406,63.3933,device,11611,7808,3803,0,0,6.86,cmp_hbm_lru-c22-t3
24,2,146.602,32.9669270220038,59.3885,device,8686,7808,878,0,0,7.066,cmp_hbm_lru-c24-t2
19,3,141.349,28.721996223001042,64.6889,device,11371,7808,3563,0,0,6.876,cmp_hbm_lru-c19-t3
30,2,152.567,33.107161107996944,60.9036,device,10188,7808,2380,0,0,7.066,cmp_hbm_lru-c30-t2
14,3,138.288,27.584296775006806,75.2784,device,11014,7808,3206,0,0,6.836,cmp_hbm_lru-c14-t3
26,3,142.33,27.7411722419929,71.5234,device,9738,7808,1930,0,0,6.86,cmp_hbm_lru-c26-t3
18,3,146.468,33.10024199199688,73.2235,device,11585,7808,3777,0,0,6.886,cmp_hbm_lru-c18-t3
23,2,152.536,32.64001961000031,69.2247,device,9519,7808,1711,0,0,6.989,cmp_hbm_lru-c23-t2
27,2,159.32,38.36473199899774,62.766,device,9109,7808,1301,0,0,6.935,cmp_hbm_lru-c27-t2
16,3,146.094,33.47455956799968,76.0379,device,8932,7808,1124,0,0,6.896,cmp_hbm_lru-c16-t3
12,3,148.056,37.11993532899942,77.4721,device,12484,7808,4676,0,0,0.277,cmp_hbm_lru-c12-t3
3,2,164.194,40.42309431800095,65.8602,device,14585,7808,6777,0,0,7.058,cmp_hbm_lru-c3-t2
13,3,158.118,39.566987775993766,76.4197,device,11382,7808,3574,0,0,6.886,cmp_hbm_lru-c13-t3
1,2,173.484,39.692407015987555,65.7359,device,12042,7808,4234,0,0,7.141,cmp_hbm_lru-c1-t2
2,2,177.23,44.48107335000532,62.1848,device,10694,7808,2886,0,0,7.105,cmp_hbm_lru-c2-t2
