conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
14,0,0.009,31.022366750999936,42.4035,device,9172,7808,1364,0,0,0.0,cmp_three_tier-c14-t0
15,0,0.009,36.34731852100231,43.7138,device,11951,7808,4143,0,0,0.0,cmp_three_tier-c15-t0
0,0,0.001,9.514829806998023,43.7788,cold,8472,0,8472,0,0,0.0,cmp_three_tier-c0-t0
22,0,0.013,39.883100753999315,47.0961,device,10077,7808,2269,0,0,0.0,cmp_three_tier-c22-t0
10,0,0.007,25.7999219839985,47.2135,device,10564,7808,2756,0,0,0.0,cmp_three_tier-c10-t0
19,0,0.011,39.8842928869999,47.3205,device,8738,7808,930,0,0,0.0,cmp_three_tier-c19-t0
16,0,0.01,36.34657718199014,50.09,device,8402,7808,594,0,0,0.0,cmp_three_tier-c16-t0
6,0,0.005,25.80181037100556,50.2593,device,10630,7808,2822,0,0,0.0,cmp_three_tier-c6-t0
26,0,0.015,46.75581564499589,55.0799,device,8192,7808,384,0,0,0.0,cmp_three_tier-c26-t0
20,0,0.012,39.88417672799551,55.3029,device,8311,7808,503,0,0,0.0,cmp_three_tier-c20-t0
18,0,0.011,36.345689381996635,56.8576,device,8465,7808,657,0,0,0.0,cmp_three_tier-c18-t0
8,0,0.006,25.800974958998268,56.863,device,8651,7808,843,0,0,0.0,cmp_three_tier-c8-t0
5,0,0.004,20.646312630007742,56.917,device,11187,7808,3379,0,0,0.0,cmp_three_tier-c5-t0
12,0,0.008,31.02375223200943,57.0132,device,10558,7808,2750,0,0,0.0,cmp_three_tier-c12-t0
7,0,0.005,25.801075576993753,57.7752,device,8588,7808,780,0,0,0.0,cmp_three_tier-c7-t0
13,0,0.008,31.023188149003545,57.9358,device,8763,7808,955,0,0,0.0,cmp_three_tier-c13-t0
4,0,0.003,20.646837941996637,58.049,device,13960,7808,6152,0,0,0.0,cmp_three_tier-c4-t0
21,0,0.012,39.88360494200606,58.5406,device,9952,7808,2144,0,0,0.0,cmp_three_tier-c21-t0
9,0,0.006,25.80045926599996,58.5469,device,10863,7808,3055,0,0,0.0,cmp_three_tier-c9-t0
1,0,0.002,9.634234519995516,59.5485,device,11529,7808,3721,0,0,0.0,cmp_three_tier-c1-t0
11,0,0.007,31.024149981996743,59.7127,device,11106,7808,3298,0,0,0.0,cmp_three_tier-c11-t0
23,0,0.013,43.59563115199853,60.4197,device,9069,7808,1261,0,0,0.0,cmp_three_tier-c23-t0
17,0,0.01,36.34636964800302,60.8647,device,9916,7808,2108,0,0,0.0,cmp_three_tier-c17-t0
24,0,0.014,43.59503148800286,61.0551,device,8235,7808,427,0,0,0.0,cmp_three_tier-c24-t0
2,0,0.002,9.633504163997713,61.1756,device,10130,7808,2322,0,0,0.0,cmp_three_tier-c2-t0
14,1,42.836,14.491486515005818,19.1177,host,9256,9216,40,1408,0,0.423,cmp_three_tier-c14-t1
27,0,0.015,46.75512909999816,61.9956,device,8628,7808,820,0,0,0.0,cmp_three_tier-c27-t0
16,1,50.527,7.860021725995466,12.3564,host,8521,8448,73,640,0,0.427,cmp_three_tier-c16-t1
26,1,55.459,3.7660639459936647,7.479,host,8276,8192,84,384,0,0.364,cmp_three_tier-c26-t1
19,1,54.63,4.595162422992871,8.3627,host,8992,8768,224,960,0,7.297,cmp_three_tier-c19-t1
30,0,0.018,56.68055118099437,63.4631,device,9753,7808,1945,0,0,0.0,cmp_three_tier-c30-t0
28,0,0.016,49.039919830000144,63.6813,device,10422,7808,2614,0,0,0.0,cmp_three_tier-c28-t0
3,0,0.003,15.099639369000215,63.8014,device,14022,7808,6214,0,0,0.0,cmp_three_tier-c3-t0
22,1,47.488,10.65425887001038,16.3159,host,10173,10112,61,2304,0,0.379,cmp_three_tier-c22-t1
0,1,44.237,13.324159062001854,19.6197,host,8561,8512,49,704,0,0.457,cmp_three_tier-c0-t1
29,0,0.016,54.41308048600331,65.1765,device,13824,7808,6016,0,0,0.0,cmp_three_tier-c29-t0
10,1,54.487,4.737243919997127,11.5152,host,10814,10624,190,2816,0,7.266,cmp_three_tier-c10-t1
15,1,44.123,13.438253703003284,22.1003,host,12039,11968,71,4160,0,0.399,cmp_three_tier-c15-t1
31,0,0.019,57.30913814798987,66.7397,device,8280,7808,472,0,0,0.0,cmp_three_tier-c31-t0
6,1,50.705,7.68194432000746,16.4375,host,10752,10688,64,2880,0,0.44,cmp_three_tier-c6-t1
8,1,57.295,1.9301746629935224,10.6278,host,8796,8704,92,896,0,0.425,cmp_three_tier-c8-t1
7,1,58.262,0.9625825249968329,10.1529,host,8740,8640,100,832,0,0.481,cmp_three_tier-c7-t1
20,1,55.743,3.481771247999859,12.8917,host,8451,8384,67,576,0,0.427,cmp_three_tier-c20-t1
25,0,0.014,46.75626454500889,68.837,device,11065,7808,3257,0,0,0.0,cmp_three_tier-c25-t0
17,1,61.245,0.1821302989992546,8.024,device,10106,10048,58,0,0,0.368,cmp_three_tier-c17-t1
5,1,64.241,0.7348917239869479,5.0284,host,11487,11264,223,3456,0,7.319,cmp_three_tier-c5-t1
12,1,64.276,0.700212283001747,5.0935,host,10859,10624,235,2816,0,7.255,cmp_three_tier-c12-t1
18,1,64.165,0.3798045059957076,5.617,host,8764,8512,252,704,0,7.296,cmp_three_tier-c18-t1
13,1,65.234,0.3230776869895635,6.4752,host,9072,8832,240,1024,0,7.29,cmp_three_tier-c13-t1
24,1,61.499,0.18967379900277592,10.4887,device,8380,8320,60,0,0,0.429,cmp_three_tier-c24-t1
23,1,60.786,0.22422315599396825,11.2021,device,9204,9152,52,0,0,0.352,cmp_three_tier-c23-t1
4,1,65.237,0.6229235630016774,7.1337,host,14271,14016,255,6208,0,7.184,cmp_three_tier-c4-t1
9,1,65.773,1.7092391589976614,7.6558,host,11178,10944,234,3136,0,7.219,cmp_three_tier-c9-t1
21,1,65.827,2.42062072599947,8.3925,host,10267,10048,219,2240,0,7.274,cmp_three_tier-c21-t1
27,1,62.437,0.22273300599772483,12.3901,device,8781,8704,77,0,0,0.426,cmp_three_tier-c27-t1
11,1,67.005,2.2060418439941714,8.0905,host,11432,11200,232,3392,0,7.285,cmp_three_tier-c11-t1
30,1,63.89,0.20729398999537807,11.2589,device,9879,9792,87,0,0,0.408,cmp_three_tier-c30-t1
25,1,69.404,0.3220295060018543,6.1876,host,11307,11264,43,3456,0,0.552,cmp_three_tier-c25-t1
14,2,69.031,0.5473157310043462,6.561,host,9505,9280,225,1472,0,7.076,cmp_three_tier-c14-t2
1,1,60.04,0.21793131699087098,15.5521,host,11698,11648,50,3840,0,0.489,cmp_three_tier-c1-t1
28,1,64.132,0.21731692399771418,12.0343,device,10594,10496,98,0,0,0.435,cmp_three_tier-c28-t1
19,2,69.86,1.3379692519956734,6.3532,host,10493,9024,1469,1216,0,6.866,cmp_three_tier-c19-t2
22,2,70.868,1.4435205409972696,9.2458,host,10444,10240,204,2432,0,7.063,cmp_three_tier-c22-t2
3,1,64.203,0.7730331829952775,16.0145,device,14258,14208,50,0,0,0.398,cmp_three_tier-c3-t1
26,2,70.027,1.5180486930039478,11.6167,host,8525,8320,205,512,0,7.088,cmp_three_tier-c26-t2
0,2,70.776,0.7689102799922694,10.8677,host,8810,8640,170,832,0,6.918,cmp_three_tier-c0-t2
2,1,61.653,0.24095953200594522,21.3429,device,10325,10240,85,0,0,0.474,cmp_three_tier-c2-t1
16,2,69.947,1.2515370070032077,14.778,host,8774,8576,198,768,0,7.062,cmp_three_tier-c16-t2
15,2,73.137,0.6422556809993694,11.932,host,12340,12096,244,4288,0,6.912,cmp_three_tier-c15-t2
6,2,74.261,0.3459710180031834,12.4135,host,11057,10816,241,3008,0,7.117,cmp_three_tier-c6-t2
10,2,72.872,0.33598445099778473,14.0463,host,11021,10880,141,3072,0,6.869,cmp_three_tier-c10-t2
29,1,65.711,0.770095505999052,21.2567,host,13985,13888,97,6080,0,0.517,cmp_three_tier-c29-t1
20,2,75.736,0.2908421360043576,16.3894,host,8770,8576,194,768,0,7.099,cmp_three_tier-c20-t2
8,2,75.005,0.344042367010843,17.5089,host,9106,8896,210,1088,0,7.082,cmp_three_tier-c8-t2
7,2,75.463,0.32329137800843455,17.2013,host,9055,8832,223,1024,0,7.047,cmp_three_tier-c7-t2
31,1,67.253,1.958430345999659,25.4114,host,8435,8384,51,576,0,0.494,cmp_three_tier-c31-t1
17,2,76.381,3.4666116519947536,16.6063,storage,10397,10176,221,0,2368,7.11,cmp_three_tier-c17-t2
24,2,79.054,3.8976860440016026,17.1756,storage,8686,8448,238,0,640,7.066,cmp_three_tier-c24-t2
13,2,78.554,4.397613185006776,17.9038,storage,10578,9088,1490,0,1280,6.843,cmp_three_tier-c13-t2
18,2,76.674,2.9085587419976946,19.8313,host,10265,8768,1497,960,0,6.89,cmp_three_tier-c18-t2
4,2,79.116,2.4581846649962245,22.1737,host,15782,14208,1574,6400,0,6.745,cmp_three_tier-c4-t2
12,2,76.229,3.3534342569910223,26.1108,host,12361,10880,1481,3072,0,6.858,cmp_three_tier-c12-t2
23,2,78.978,3.974649740004679,28.285,storage,9519,9280,239,0,1472,6.989,cmp_three_tier-c23-t2
27,2,81.764,4.613963581999997,25.5653,storage,9109,8896,213,0,1088,6.935,cmp_three_tier-c27-t2
9,2,80.245,3.9895019690011395,27.3921,storage,12685,11200,1485,0,3392,6.816,cmp_three_tier-c9-t2
21,2,81.076,5.301789801000268,26.6046,storage,11774,10304,1470,0,2496,6.853,cmp_three_tier-c21-t2
30,2,82.216,9.515925818996038,35.2616,storage,10188,9984,204,0,2176,7.066,cmp_three_tier-c30-t2
11,2,81.937,9.795318738004426,35.5412,device,12935,7808,5127,0,0,6.84,cmp_three_tier-c11-t2
25,2,82.671,9.791871975001413,38.401,host,11561,11328,233,3520,0,7.078,cmp_three_tier-c25-t2
5,2,76.109,1.3016919799993047,45.0585,host,12984,11520,1464,3712,0,6.838,cmp_three_tier-c5-t2
14,3,82.428,9.303782397997566,46.6536,host,11014,9536,1478,1728,0,6.836,cmp_three_tier-c14-t3
1,2,82.733,13.30357709999953,46.4442,device,12042,7808,4234,0,0,7.141,cmp_three_tier-c1-t2
22,3,86.975,15.275992777998908,48.6337,storage,11611,10496,1115,0,2688,6.86,cmp_three_tier-c22-t3
3,2,87.277,19.91380102900439,52.1119,device,14585,7808,6777,0,0,7.058,cmp_three_tier-c3-t2
19,3,83.09,18.009881798992865,56.3418,device,11371,7808,3563,0,0,6.876,cmp_three_tier-c19-t3
0,3,88.455,28.633401782994042,51.0248,device,8952,7808,1144,0,0,6.81,cmp_three_tier-c0-t3
2,2,90.102,30.058303803001763,53.4499,device,10694,7808,2886,0,0,7.105,cmp_three_tier-c2-t2
26,3,88.505,28.58341125700099,61.7132,device,9738,7808,1930,0,0,6.86,cmp_three_tier-c26-t3
29,2,94.074,39.588794878000044,56.6311,device,14330,7808,6522,0,0,7.105,cmp_three_tier-c29-t2
16,3,91.623,28.537512851005886,59.1304,device,8932,7808,1124,0,0,6.896,cmp_three_tier-c16-t3
6,3,93.598,35.051966943996376,64.51,device,12562,7808,4754,0,0,6.922,cmp_three_tier-c6-t3
8,3,99.392,39.9415703429986,58.8117,device,10616,7808,2808,0,0,6.877,cmp_three_tier-c8-t3
31,2,99.757,43.07741393100878,60.9357,device,8758,7808,950,0,0,7.092,cmp_three_tier-c31-t2
7,3,99.446,39.88785241500591,61.2948,device,10563,7808,2755,0,0,6.781,cmp_three_tier-c7-t3
20,3,98.956,36.36286035300873,67.4913,device,10271,7808,2463,0,0,6.829,cmp_three_tier-c20-t3
28,2,83.264,17.835922119003953,85.0788,device,10909,7808,3101,0,0,7.097,cmp_three_tier-c28-t2
15,3,91.998,33.29983647400513,76.6649,device,13848,7808,6040,0,0,6.928,cmp_three_tier-c15-t3
17,3,99.887,42.947881981002865,72.9071,device,11906,7808,4098,0,0,6.899,cmp_three_tier-c17-t3
4,3,101.563,47.733322100000805,78.3385,cold,15893,7808,8085,0,0,0.272,cmp_three_tier-c4-t3
24,3,103.102,53.041068463004194,80.7985,device,9890,7808,2082,0,0,6.871,cmp_three_tier-c24-t3
13,3,103.345,54.32933203299763,80.7007,device,11382,7808,3574,0,0,6.886,cmp_three_tier-c13-t3
12,3,102.617,53.52557720699406,81.476,device,12484,7808,4676,0,0,0.277,cmp_three_tier-c12-t3
18,3,103.392,57.249582430988085,86.7261,device,11585,7808,3777,0,0,6.886,cmp_three_tier-c18-t3
27,3,114.146,54.0008591680089,76.0226,device,10310,7808,2502,0,0,6.816,cmp_three_tier-c27-t3
9,3,107.913,58.24323378999543,88.5663,device,12808,7808,5000,0,0,0.275,cmp_three_tier-c9-t3
23,3,114.14,52.01567471100134,85.4008,device,10741,7808,2933,0,0,6.876,cmp_three_tier-c23-t3
21,3,114.578,57.05132332799258,88.8921,device,11924,7808,4116,0,0,6.896,cmp_three_tier-c21-t3
11,3,124.333,53.96120020200033,81.545,device,13668,7808,5860,0,0,6.853,cmp_three_tier-c11-t3
14,4,136.032,53.98694467100722,76.0497,device,11193,7808,3385,0,0,6.949,cmp_three_tier-c14-t4
22,4,142.396,56.768410657998174,69.7781,device,11782,7808,3974,0,0,6.784,cmp_three_tier-c22-t4
1,3,146.125,56.476069434997044,70.9708,device,12188,7808,4380,0,0,16.945,cmp_three_tier-c1-t3
30,3,124.355,54.96210876999248,92.7416,device,11393,7808,3585,0,0,6.876,cmp_three_tier-c30-t3
5,3,128.055,61.52403770800447,89.0885,device,13207,7808,5399,0,0,6.886,cmp_three_tier-c5-t3
0,4,146.279,58.570866221009055,81.557,device,9799,7808,1991,0,0,6.799,cmp_three_tier-c0-t4
25,3,127.937,55.42771138199896,100.3205,device,12779,7808,4971,0,0,6.862,cmp_three_tier-c25-t3
26,4,157.141,59.47761185199488,76.3517,device,9910,7808,2102,0,0,6.922,cmp_three_tier-c26-t4
3,3,146.32,65.4270612669934,87.2216,cold,16031,7808,8223,0,0,6.93,cmp_three_tier-c3-t3
16,4,157.621,69.88312194100581,83.7998,device,9097,7808,1289,0,0,6.867,cmp_three_tier-c16-t4
6,4,164.947,62.55772637001064,76.6664,device,13684,7808,5876,0,0,6.836,cmp_three_tier-c6-t4
31,3,167.569,64.73637569899438,79.1665,device,9959,7808,2151,0,0,6.874,cmp_three_tier-c31-t3
8,4,165.031,67.27429787300935,84.8592,device,11699,7808,3891,0,0,6.826,cmp_three_tier-c8-t4
29,3,157.493,65.33872641800554,92.584,device,15529,7808,7721,0,0,6.785,cmp_three_tier-c29-t3
20,4,173.322,67.03940631200385,77.7716,device,11085,7808,3277,0,0,6.874,cmp_three_tier-c20-t4
28,3,168.621,70.23439135799708,93.9354,device,11098,7808,3290,0,0,0.276,cmp_three_tier-c28-t3
7,4,167.625,71.23055527599354,95.2466,device,11609,7808,3801,0,0,6.883,cmp_three_tier-c7-t4
2,3,150.392,64.74391742100124,116.8438,device,12105,7808,4297,0,0,6.839,cmp_three_tier-c2-t3
17,4,179.728,70.06075445900206,88.2513,device,12099,7808,4291,0,0,6.934,cmp_three_tier-c17-t4
15,4,175.594,70.5216719230084,99.4927,device,14126,7808,6318,0,0,6.928,cmp_three_tier-c15-t4
4,4,180.5,81.38129149700399,96.4548,cold,21618,7808,13810,0,0,0.597,cmp_three_tier-c4-t4
12,4,184.622,82.45393621199764,105.3001,device,13843,7808,6035,0,0,0.527,cmp_three_tier-c12-t4
13,4,184.942,90.10160836999421,111.1936,cold,17472,7808,9664,0,0,0.895,cmp_three_tier-c13-t4
18,4,197.038,90.6676626260014,107.4037,device,11750,7808,3942,0,0,6.918,cmp_three_tier-c18-t4
9,4,197.054,92.20134523100569,108.0397,device,14341,7808,6533,0,0,0.574,cmp_three_tier-c9-t4
