conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.626482510000642,7.3283,device,8603,7808,795,0,0,0.0,cmp_three_tier_wc-c9-t0
47,0,0.015,4.739418809003837,7.3183,device,8233,7808,425,0,0,0.0,cmp_three_tier_wc-c47-t0
5,0,0.003,1.5847963589985739,7.9293,device,9678,7808,1870,0,0,0.0,cmp_three_tier_wc-c5-t0
51,0,0.015,5.186113799994928,7.9378,device,8305,7808,497,0,0,0.0,cmp_three_tier_wc-c51-t0
61,0,0.017,5.912177664999035,8.1997,device,9606,7808,1798,0,0,0.0,cmp_three_tier_wc-c61-t0
23,0,0.01,2.4966737780050607,8.6609,device,8197,7808,389,0,0,0.0,cmp_three_tier_wc-c23-t0
0,0,0.001,1.5867666070043924,8.9022,cold,8219,0,8219,0,0,0.0,cmp_three_tier_wc-c0-t0
11,0,0.004,1.6260148740038858,9.1724,device,8379,7808,571,0,0,0.0,cmp_three_tier_wc-c11-t0
16,0,0.005,2.0580350819946034,9.2066,device,9634,7808,1826,0,0,0.0,cmp_three_tier_wc-c16-t0
21,0,0.009,2.4973396280038287,9.2337,device,10990,7808,3182,0,0,0.0,cmp_three_tier_wc-c21-t0
44,0,0.014,4.283337713000947,9.4004,device,8337,7808,529,0,0,0.0,cmp_three_tier_wc-c44-t0
32,0,0.012,3.3913341689985828,9.8221,device,9843,7808,2035,0,0,0.0,cmp_three_tier_wc-c32-t0
48,0,0.015,4.739527088000614,9.8538,device,8287,7808,479,0,0,0.0,cmp_three_tier_wc-c48-t0
4,0,0.002,1.585457524000958,9.8971,device,8690,7808,882,0,0,0.0,cmp_three_tier_wc-c4-t0
60,0,0.017,5.673305126001651,9.901,device,10094,7808,2286,0,0,0.0,cmp_three_tier_wc-c60-t0
55,0,0.016,5.18511676700291,10.4839,device,8189,7808,381,0,0,0.0,cmp_three_tier_wc-c55-t0
1,0,0.002,1.5860940830025356,10.5328,device,8453,7808,645,0,0,0.0,cmp_three_tier_wc-c1-t0
54,0,0.016,5.185401011003705,10.5362,device,8170,7808,362,0,0,0.0,cmp_three_tier_wc-c54-t0
18,0,0.005,2.057404981998843,11.0322,device,8531,7808,723,0,0,0.0,cmp_three_tier_wc-c18-t0
12,0,0.004,1.625758283000323,11.1012,device,8185,7808,377,0,0,0.0,cmp_three_tier_wc-c12-t0
22,0,0.009,2.49672895999538,11.1929,device,9823,7808,2015,0,0,0.0,cmp_three_tier_wc-c22-t0
8,0,0.003,1.6263797580031678,11.4613,device,9746,7808,1938,0,0,0.0,cmp_three_tier_wc-c8-t0
19,0,0.006,2.0575250669935485,11.4596,device,8237,7808,429,0,0,0.0,cmp_three_tier_wc-c19-t0
33,0,0.012,3.391101383000205,11.6248,device,8398,7808,590,0,0,0.0,cmp_three_tier_wc-c33-t0
50,0,0.015,4.739112868002849,11.8164,device,9785,7808,1977,0,0,0.0,cmp_three_tier_wc-c50-t0
29,0,0.011,2.95608235400141,11.8937,device,10525,7808,2717,0,0,0.0,cmp_three_tier_wc-c29-t0
56,0,0.016,5.674061321995396,11.9083,device,12783,7808,4975,0,0,0.0,cmp_three_tier_wc-c56-t0
53,0,0.016,5.185602572004427,11.909,device,8469,7808,661,0,0,0.0,cmp_three_tier_wc-c53-t0
27,0,0.011,2.956642640994687,12.4064,device,8431,7808,623,0,0,0.0,cmp_three_tier_wc-c27-t0
10,0,0.004,1.6262496099952841,12.4138,device,10305,7808,2497,0,0,0.0,cmp_three_tier_wc-c10-t0
57,0,0.016,5.6738099079957465,12.8115,device,8394,7808,586,0,0,0.0,cmp_three_tier_wc-c57-t0
42,0,0.014,4.28355937100423,12.8149,device,9719,7808,1911,0,0,0.0,cmp_three_tier_wc-c42-t0
28,0,0.011,2.95641773299576,13.089,device,8467,7808,659,0,0,0.0,cmp_three_tier_wc-c28-t0
34,0,0.012,3.390882594998402,13.0883,device,9646,7808,1838,0,0,0.0,cmp_three_tier_wc-c34-t0
15,0,0.005,2.058279513999878,13.1315,device,9940,7808,2132,0,0,0.0,cmp_three_tier_wc-c15-t0
41,0,0.013,4.283961426997848,13.1239,device,8528,7808,720,0,0,0.0,cmp_three_tier_wc-c41-t0
13,0,0.004,2.058872049994534,13.3586,device,8903,7808,1095,0,0,0.0,cmp_three_tier_wc-c13-t0
30,0,0.011,3.391512957001396,13.5744,device,8246,7808,438,0,0,0.0,cmp_three_tier_wc-c30-t0
35,0,0.012,3.836171478003962,13.5741,device,8776,7808,968,0,0,0.0,cmp_three_tier_wc-c35-t0
49,0,0.015,4.7393244370032335,13.6087,device,8840,7808,1032,0,0,0.0,cmp_three_tier_wc-c49-t0
6,0,0.003,1.6269305059977341,13.6509,device,9834,7808,2026,0,0,0.0,cmp_three_tier_wc-c6-t0
25,0,0.01,2.9571097630032455,13.644,device,8563,7808,755,0,0,0.0,cmp_three_tier_wc-c25-t0
7,0,0.003,1.626788077999663,13.6513,device,8406,7808,598,0,0,0.0,cmp_three_tier_wc-c7-t0
3,0,0.002,1.5856073809991358,13.9936,device,8296,7808,488,0,0,0.0,cmp_three_tier_wc-c3-t0
59,0,0.017,5.673519336000027,13.98,device,10294,7808,2486,0,0,0.0,cmp_three_tier_wc-c59-t0
46,0,0.014,4.739773408000474,14.5745,device,9838,7808,2030,0,0,0.0,cmp_three_tier_wc-c46-t0
45,0,0.014,4.74000839299697,14.575,device,10915,7808,3107,0,0,0.0,cmp_three_tier_wc-c45-t0
52,0,0.015,5.185917574002815,14.5741,device,10887,7808,3079,0,0,0.0,cmp_three_tier_wc-c52-t0
17,0,0.005,2.0577914969981066,14.987,device,8775,7808,967,0,0,0.0,cmp_three_tier_wc-c17-t0
39,0,0.013,4.284433824999724,14.9797,device,10569,7808,2761,0,0,0.0,cmp_three_tier_wc-c39-t0
26,0,0.01,2.9568910550005967,15.5362,device,9104,7808,1296,0,0,0.0,cmp_three_tier_wc-c26-t0
40,0,0.013,4.284211493002658,15.5338,device,9876,7808,2068,0,0,0.0,cmp_three_tier_wc-c40-t0
20,0,0.006,2.500500602996908,15.5414,device,10417,7808,2609,0,0,0.0,cmp_three_tier_wc-c20-t0
2,0,0.002,1.5858411230001366,15.9201,device,10466,7808,2658,0,0,0.0,cmp_three_tier_wc-c2-t0
38,0,0.013,3.8354525809991173,15.977,device,8180,7808,372,0,0,0.0,cmp_three_tier_wc-c38-t0
14,0,0.005,2.058508423004241,16.5283,device,8477,7808,669,0,0,0.0,cmp_three_tier_wc-c14-t0
72,0,0.02,9.483820984998601,16.888,device,8241,7808,433,0,0,0.0,cmp_three_tier_wc-c72-t0
58,0,0.017,5.673469109999132,16.9245,device,8345,7808,537,0,0,0.0,cmp_three_tier_wc-c58-t0
37,0,0.013,3.835757681998075,16.9614,device,9869,7808,2061,0,0,0.0,cmp_three_tier_wc-c37-t0
31,0,0.011,3.3915830699988874,17.11,device,10205,7808,2397,0,0,0.0,cmp_three_tier_wc-c31-t0
65,0,0.018,7.816188995995617,17.7446,device,10032,7808,2224,0,0,0.0,cmp_three_tier_wc-c65-t0
87,0,0.022,11.847101380997628,17.7754,device,8235,7808,427,0,0,0.0,cmp_three_tier_wc-c87-t0
64,0,0.018,7.816413038999599,17.8127,device,9906,7808,2098,0,0,0.0,cmp_three_tier_wc-c64-t0
68,0,0.019,8.301862128995708,18.2221,device,8188,7808,380,0,0,0.0,cmp_three_tier_wc-c68-t0
67,0,0.019,8.162233277005726,18.2899,device,8434,7808,626,0,0,0.0,cmp_three_tier_wc-c67-t0
