conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.004,1.4907062739948742,6.9498,device,8603,7808,795,0,0,0.0,cmp_hbm_host-c9-t0
47,0,0.016,4.348416252993047,6.9388,device,8233,7808,425,0,0,0.0,cmp_hbm_host-c47-t0
5,0,0.003,1.4899070240062429,7.5497,device,9678,7808,1870,0,0,0.0,cmp_hbm_host-c5-t0
51,0,0.017,4.799896153999725,7.5563,device,8305,7808,497,0,0,0.0,cmp_hbm_host-c51-t0
61,0,0.019,5.5314573280047625,7.818,device,9606,7808,1798,0,0,0.0,cmp_hbm_host-c61-t0
23,0,0.01,2.104188963989145,8.2806,device,8197,7808,389,0,0,0.0,cmp_hbm_host-c23-t0
0,0,0.001,1.4910236239957158,8.5227,cold,8219,0,8219,0,0,0.0,cmp_hbm_host-c0-t0
11,0,0.004,1.490204278001329,8.7926,device,8379,7808,571,0,0,0.0,cmp_hbm_host-c11-t0
16,0,0.005,1.6670564619998913,8.8271,device,9634,7808,1826,0,0,0.0,cmp_hbm_host-c16-t0
21,0,0.01,2.1048294990032446,8.8535,device,10990,7808,3182,0,0,0.0,cmp_hbm_host-c21-t0
44,0,0.015,3.8937210089934524,9.0191,device,8337,7808,529,0,0,0.0,cmp_hbm_host-c44-t0
32,0,0.013,3.003341943011037,9.442,device,9843,7808,2035,0,0,0.0,cmp_hbm_host-c32-t0
48,0,0.016,4.348158683991642,9.4729,device,8287,7808,479,0,0,0.0,cmp_hbm_host-c48-t0
4,0,0.002,1.490340060001472,9.5169,device,8690,7808,882,0,0,0.0,cmp_hbm_host-c4-t0
60,0,0.019,5.294781428005081,9.5185,device,10094,7808,2286,0,0,0.0,cmp_hbm_host-c60-t0
55,0,0.018,4.7991142749961,10.1032,device,8189,7808,381,0,0,0.0,cmp_hbm_host-c55-t0
1,0,0.001,1.491258983995067,10.1532,device,8453,7808,645,0,0,0.0,cmp_hbm_host-c1-t0
54,0,0.018,4.799334452996845,10.1552,device,8170,7808,362,0,0,0.0,cmp_hbm_host-c54-t0
18,0,0.006,1.666851387009956,10.6521,device,8531,7808,723,0,0,0.0,cmp_hbm_host-c18-t0
12,0,0.004,1.4898139680008171,10.72,device,8185,7808,377,0,0,0.0,cmp_hbm_host-c12-t0
22,0,0.01,2.104516564999358,10.8115,device,9823,7808,2015,0,0,0.0,cmp_hbm_host-c22-t0
19,0,0.006,1.6665753050037893,11.0796,device,8237,7808,429,0,0,0.0,cmp_hbm_host-c19-t0
8,0,0.003,1.4909517890046118,11.0828,device,9746,7808,1938,0,0,0.0,cmp_hbm_host-c8-t0
33,0,0.013,3.003018247996806,11.2431,device,8398,7808,590,0,0,0.0,cmp_hbm_host-c33-t0
50,0,0.017,4.347534857006394,11.4335,device,9785,7808,1977,0,0,0.0,cmp_hbm_host-c50-t0
29,0,0.012,2.565089531999547,11.5117,device,10525,7808,2717,0,0,0.0,cmp_hbm_host-c29-t0
56,0,0.018,5.295886740990682,11.5253,device,12783,7808,4975,0,0,0.0,cmp_hbm_host-c56-t0
53,0,0.017,4.799573611991946,11.5263,device,8469,7808,661,0,0,0.0,cmp_hbm_host-c53-t0
27,0,0.011,2.5652599379973253,12.0258,device,8431,7808,623,0,0,0.0,cmp_hbm_host-c27-t0
10,0,0.004,1.4904759459896013,12.034,device,10305,7808,2497,0,0,0.0,cmp_hbm_host-c10-t0
57,0,0.018,5.295596041003591,12.4289,device,8394,7808,586,0,0,0.0,cmp_hbm_host-c57-t0
42,0,0.015,3.8939851819886826,12.4326,device,9719,7808,1911,0,0,0.0,cmp_hbm_host-c42-t0
28,0,0.012,2.565337147010723,12.7078,device,8467,7808,659,0,0,0.0,cmp_hbm_host-c28-t0
34,0,0.013,3.002779199014185,12.7067,device,9646,7808,1838,0,0,0.0,cmp_hbm_host-c34-t0
15,0,0.005,1.667459078002139,12.7503,device,9940,7808,2132,0,0,0.0,cmp_hbm_host-c15-t0
41,0,0.015,3.8943720509996638,12.7417,device,8528,7808,720,0,0,0.0,cmp_hbm_host-c41-t0
13,0,0.004,1.6678370500012534,12.9781,device,8903,7808,1095,0,0,0.0,cmp_hbm_host-c13-t0
35,0,0.013,3.447496950000641,13.1922,device,8776,7808,968,0,0,0.0,cmp_hbm_host-c35-t0
30,0,0.012,3.003844027989544,13.1937,device,8246,7808,438,0,0,0.0,cmp_hbm_host-c30-t0
49,0,0.016,4.347918404993834,13.2279,device,8840,7808,1032,0,0,0.0,cmp_hbm_host-c49-t0
6,0,0.003,1.4911528599914163,13.2716,device,9834,7808,2026,0,0,0.0,cmp_hbm_host-c6-t0
25,0,0.011,2.5658995139965555,13.2639,device,8563,7808,755,0,0,0.0,cmp_hbm_host-c25-t0
7,0,0.003,1.4912190150062088,13.2721,device,8406,7808,598,0,0,0.0,cmp_hbm_host-c7-t0
3,0,0.002,1.4906359430024168,13.6128,device,8296,7808,488,0,0,0.0,cmp_hbm_host-c3-t0
59,0,0.019,5.29503678700712,13.5972,device,10294,7808,2486,0,0,0.0,cmp_hbm_host-c59-t0
46,0,0.016,4.348685460994602,14.1925,device,9838,7808,2030,0,0,0.0,cmp_hbm_host-c46-t0
45,0,0.015,4.348941695003305,14.193,device,10915,7808,3107,0,0,0.0,cmp_hbm_host-c45-t0
52,0,0.017,4.79992265200417,14.1917,device,10887,7808,3079,0,0,0.0,cmp_hbm_host-c52-t0
39,0,0.014,3.8948893300112104,14.5968,device,10569,7808,2761,0,0,0.0,cmp_hbm_host-c39-t0
17,0,0.005,1.6670953849970829,14.6059,device,8775,7808,967,0,0,0.0,cmp_hbm_host-c17-t0
26,0,0.011,2.5655339270015247,15.155,device,9104,7808,1296,0,0,0.0,cmp_hbm_host-c26-t0
20,0,0.006,2.1086212639929727,15.1603,device,10417,7808,2609,0,0,0.0,cmp_hbm_host-c20-t0
40,0,0.014,3.894630683003925,15.1524,device,9876,7808,2068,0,0,0.0,cmp_hbm_host-c40-t0
2,0,0.002,1.4909002920030616,15.5393,device,10466,7808,2658,0,0,0.0,cmp_hbm_host-c2-t0
38,0,0.014,3.4467310619947966,15.5949,device,8180,7808,372,0,0,0.0,cmp_hbm_host-c38-t0
14,0,0.005,1.6677066380070755,16.1478,device,8477,7808,669,0,0,0.0,cmp_hbm_host-c14-t0
72,0,0.022,9.101802008997765,16.5052,device,8241,7808,433,0,0,0.0,cmp_hbm_host-c72-t0
