conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.4759323640028015,6.8806,device,8603,7808,795,0,0,0.0,cmp_hbm_lru-c9-t0
47,0,0.014,4.3079904970072675,6.8712,device,8233,7808,425,0,0,0.0,cmp_hbm_lru-c47-t0
5,0,0.002,1.4753283489844762,7.4796,device,9678,7808,1870,0,0,0.0,cmp_hbm_lru-c5-t0
51,0,0.015,4.761058685020544,7.4888,device,8305,7808,497,0,0,0.0,cmp_hbm_lru-c51-t0
61,0,0.017,5.464977515017381,7.7499,device,9606,7808,1798,0,0,0.0,cmp_hbm_lru-c61-t0
23,0,0.009,2.08412730199052,8.211,device,8197,7808,389,0,0,0.0,cmp_hbm_lru-c23-t0
0,0,0.001,1.475524282985134,8.4524,cold,8219,0,8219,0,0,0.0,cmp_hbm_lru-c0-t0
11,0,0.004,1.47547316600685,8.7227,device,8379,7808,571,0,0,0.0,cmp_hbm_lru-c11-t0
16,0,0.005,1.6437771250202786,8.7569,device,9634,7808,1826,0,0,0.0,cmp_hbm_lru-c16-t0
21,0,0.009,2.0845295879989862,8.7842,device,10990,7808,3182,0,0,0.0,cmp_hbm_lru-c21-t0
44,0,0.013,3.854350681998767,8.9512,device,8337,7808,529,0,0,0.0,cmp_hbm_lru-c44-t0
32,0,0.011,2.9666997599997558,9.3669,device,9843,7808,2035,0,0,0.0,cmp_hbm_lru-c32-t0
48,0,0.014,4.307706955994945,9.3987,device,8287,7808,479,0,0,0.0,cmp_hbm_lru-c48-t0
4,0,0.002,1.4755367809848394,9.4407,device,8690,7808,882,0,0,0.0,cmp_hbm_lru-c4-t0
60,0,0.017,5.245282549993135,9.4431,device,10094,7808,2286,0,0,0.0,cmp_hbm_lru-c60-t0
55,0,0.016,4.760094183991896,10.024,device,8189,7808,381,0,0,0.0,cmp_hbm_lru-c55-t0
1,0,0.001,1.4763282189960591,10.0728,device,8453,7808,645,0,0,0.0,cmp_hbm_lru-c1-t0
54,0,0.016,4.76038409100147,10.0763,device,8170,7808,362,0,0,0.0,cmp_hbm_lru-c54-t0
18,0,0.005,1.6433373670151923,10.5724,device,8531,7808,723,0,0,0.0,cmp_hbm_lru-c18-t0
12,0,0.004,1.4752521739865188,10.64,device,8185,7808,377,0,0,0.0,cmp_hbm_lru-c12-t0
22,0,0.009,2.08429565501865,10.7316,device,9823,7808,2015,0,0,0.0,cmp_hbm_lru-c22-t0
19,0,0.005,1.6431257560034283,10.9964,device,8237,7808,429,0,0,0.0,cmp_hbm_lru-c19-t0
8,0,0.003,1.47617583401734,10.9988,device,9746,7808,1938,0,0,0.0,cmp_hbm_lru-c8-t0
33,0,0.011,2.9664607390004676,11.1606,device,8398,7808,590,0,0,0.0,cmp_hbm_lru-c33-t0
50,0,0.015,4.307251999998698,11.3534,device,9785,7808,1977,0,0,0.0,cmp_hbm_lru-c50-t0
29,0,0.01,2.528322925994871,11.4296,device,10525,7808,2717,0,0,0.0,cmp_hbm_lru-c29-t0
53,0,0.015,4.760635100014042,11.444,device,8469,7808,661,0,0,0.0,cmp_hbm_lru-c53-t0
56,0,0.016,5.246379454009002,11.4438,device,12783,7808,4975,0,0,0.0,cmp_hbm_lru-c56-t0
27,0,0.01,2.528905569022754,11.9419,device,8431,7808,623,0,0,0.0,cmp_hbm_lru-c27-t0
10,0,0.003,1.4757147479976993,11.949,device,10305,7808,2497,0,0,0.0,cmp_hbm_lru-c10-t0
57,0,0.016,5.24611175400787,12.3461,device,8394,7808,586,0,0,0.0,cmp_hbm_lru-c57-t0
42,0,0.013,3.855037455999991,12.3494,device,9719,7808,1911,0,0,0.0,cmp_hbm_lru-c42-t0
28,0,0.01,2.5286716379923746,12.6235,device,8467,7808,659,0,0,0.0,cmp_hbm_lru-c28-t0
34,0,0.012,2.966243161004968,12.6227,device,9646,7808,1838,0,0,0.0,cmp_hbm_lru-c34-t0
15,0,0.004,1.6436158439901192,12.6668,device,9940,7808,2132,0,0,0.0,cmp_hbm_lru-c15-t0
41,0,0.013,3.8551004490000196,12.6593,device,8528,7808,720,0,0,0.0,cmp_hbm_lru-c41-t0
13,0,0.004,1.6442904839932453,12.8933,device,8903,7808,1095,0,0,0.0,cmp_hbm_lru-c13-t0
30,0,0.011,2.9668788099952508,13.1088,device,8246,7808,438,0,0,0.0,cmp_hbm_lru-c30-t0
35,0,0.012,3.410365975985769,13.1083,device,8776,7808,968,0,0,0.0,cmp_hbm_lru-c35-t0
49,0,0.014,4.307483875978505,13.1418,device,8840,7808,1032,0,0,0.0,cmp_hbm_lru-c49-t0
6,0,0.003,1.4763037000084296,13.1851,device,9834,7808,2026,0,0,0.0,cmp_hbm_lru-c6-t0
25,0,0.01,2.529372249991866,13.1784,device,8563,7808,755,0,0,0.0,cmp_hbm_lru-c25-t0
7,0,0.003,1.4764416450052522,13.1856,device,8406,7808,598,0,0,0.0,cmp_hbm_lru-c7-t0
3,0,0.002,1.475570256006904,13.5256,device,8296,7808,488,0,0,0.0,cmp_hbm_lru-c3-t0
59,0,0.016,5.245656901010079,13.5124,device,10294,7808,2486,0,0,0.0,cmp_hbm_lru-c59-t0
52,0,0.015,4.760994465992553,14.1054,device,10887,7808,3079,0,0,0.0,cmp_hbm_lru-c52-t0
