conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.4906580550014041,6.9693,device,8603,7808,795,0,0,0.0,cmp_three_tier_to-c9-t0
47,0,0.013,4.426626772008603,6.9861,device,8233,7808,425,0,0,0.0,cmp_three_tier_to-c47-t0
5,0,0.002,1.4898675480071688,7.5672,device,9678,7808,1870,0,0,0.0,cmp_three_tier_to-c5-t0
51,0,0.014,4.426003714004764,7.5781,device,8305,7808,497,0,0,0.0,cmp_three_tier_to-c51-t0
61,0,0.016,5.551113797002472,7.8393,device,9606,7808,1798,0,0,0.0,cmp_three_tier_to-c61-t0
23,0,0.009,2.1742660610034363,8.2995,device,8197,7808,389,0,0,0.0,cmp_three_tier_to-c23-t0
0,0,0.001,1.4903911339933984,8.5394,cold,8219,0,8219,0,0,0.0,cmp_three_tier_to-c0-t0
11,0,0.004,1.4902235159970587,8.8108,device,8379,7808,571,0,0,0.0,cmp_three_tier_to-c11-t0
16,0,0.004,1.7296700239967322,8.8451,device,9634,7808,1826,0,0,0.0,cmp_three_tier_to-c16-t0
21,0,0.008,2.174901039004908,8.8723,device,10990,7808,3182,0,0,0.0,cmp_three_tier_to-c21-t0
44,0,0.013,3.972850196994841,9.0396,device,8337,7808,529,0,0,0.0,cmp_three_tier_to-c44-t0
32,0,0.011,3.0813960609957576,9.4568,device,9843,7808,2035,0,0,0.0,cmp_three_tier_to-c32-t0
48,0,0.014,4.42643960598798,9.4886,device,8287,7808,479,0,0,0.0,cmp_three_tier_to-c48-t0
4,0,0.002,1.4903654969966738,9.5309,device,8690,7808,882,0,0,0.0,cmp_three_tier_to-c4-t0
60,0,0.016,5.336131780000869,9.5342,device,10094,7808,2286,0,0,0.0,cmp_three_tier_to-c60-t0
55,0,0.015,4.875372018010239,10.1193,device,8189,7808,381,0,0,0.0,cmp_three_tier_to-c55-t0
1,0,0.001,1.4897949010046432,10.1667,device,8453,7808,645,0,0,0.0,cmp_three_tier_to-c1-t0
54,0,0.015,4.875475228007417,10.1707,device,8170,7808,362,0,0,0.0,cmp_three_tier_to-c54-t0
18,0,0.005,1.729098060997785,10.6671,device,8531,7808,723,0,0,0.0,cmp_three_tier_to-c18-t0
12,0,0.004,1.489921725995373,10.735,device,8185,7808,377,0,0,0.0,cmp_three_tier_to-c12-t0
22,0,0.009,2.17465557900141,10.828,device,9823,7808,2015,0,0,0.0,cmp_three_tier_to-c22-t0
8,0,0.003,1.490895056995214,11.0971,device,9746,7808,1938,0,0,0.0,cmp_three_tier_to-c8-t0
19,0,0.005,1.7291831860056845,11.0954,device,8237,7808,429,0,0,0.0,cmp_three_tier_to-c19-t0
33,0,0.011,3.0811551779916044,11.2597,device,8398,7808,590,0,0,0.0,cmp_three_tier_to-c33-t0
50,0,0.014,4.425895291002234,11.4517,device,9785,7808,1977,0,0,0.0,cmp_three_tier_to-c50-t0
29,0,0.01,2.6415393439965555,11.5288,device,10525,7808,2717,0,0,0.0,cmp_three_tier_to-c29-t0
56,0,0.015,5.337113592991955,11.5414,device,12783,7808,4975,0,0,0.0,cmp_three_tier_to-c56-t0
53,0,0.014,4.875719531002687,11.5422,device,8469,7808,661,0,0,0.0,cmp_three_tier_to-c53-t0
27,0,0.01,2.6421163420018274,12.0424,device,8431,7808,623,0,0,0.0,cmp_three_tier_to-c27-t0
10,0,0.003,1.490449410994188,12.0491,device,10305,7808,2497,0,0,0.0,cmp_three_tier_to-c10-t0
57,0,0.015,5.33683871399262,12.4469,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c57-t0
42,0,0.012,3.973188874006155,12.4502,device,9719,7808,1911,0,0,0.0,cmp_three_tier_to-c42-t0
28,0,0.01,2.641888251004275,12.7246,device,8467,7808,659,0,0,0.0,cmp_three_tier_to-c28-t0
34,0,0.011,3.0808691200072644,12.7239,device,9646,7808,1838,0,0,0.0,cmp_three_tier_to-c34-t0
15,0,0.004,1.7298741379927378,12.7649,device,9940,7808,2132,0,0,0.0,cmp_three_tier_to-c15-t0
41,0,0.012,3.973414881998906,12.7577,device,8528,7808,720,0,0,0.0,cmp_three_tier_to-c41-t0
13,0,0.004,1.490058400988346,12.9938,device,8903,7808,1095,0,0,0.0,cmp_three_tier_to-c13-t0
35,0,0.011,3.080633231002139,13.2095,device,8776,7808,968,0,0,0.0,cmp_three_tier_to-c35-t0
30,0,0.01,2.641621671995381,13.2108,device,8246,7808,438,0,0,0.0,cmp_three_tier_to-c30-t0
49,0,0.014,4.426226380994194,13.2423,device,8840,7808,1032,0,0,0.0,cmp_three_tier_to-c49-t0
6,0,0.003,1.4898441389959771,13.2863,device,9834,7808,2026,0,0,0.0,cmp_three_tier_to-c6-t0
25,0,0.009,2.642542876987136,13.2799,device,8563,7808,755,0,0,0.0,cmp_three_tier_to-c25-t0
7,0,0.003,1.4911468729987973,13.2866,device,8406,7808,598,0,0,0.0,cmp_three_tier_to-c7-t0
3,0,0.002,1.490465035996749,13.6285,device,8296,7808,488,0,0,0.0,cmp_three_tier_to-c3-t0
59,0,0.016,5.3364355499943485,13.6157,device,10294,7808,2486,0,0,0.0,cmp_three_tier_to-c59-t0
46,0,0.013,4.42682799200702,14.2115,device,9838,7808,2030,0,0,0.0,cmp_three_tier_to-c46-t0
52,0,0.014,4.87582169099187,14.2108,device,10887,7808,3079,0,0,0.0,cmp_three_tier_to-c52-t0
45,0,0.013,4.4270466930029215,14.2122,device,10915,7808,3107,0,0,0.0,cmp_three_tier_to-c45-t0
39,0,0.012,3.531025991003844,14.6144,device,10569,7808,2761,0,0,0.0,cmp_three_tier_to-c39-t0
17,0,0.005,1.729442828000174,14.6222,device,8775,7808,967,0,0,0.0,cmp_three_tier_to-c17-t0
40,0,0.012,3.973480661006761,15.1695,device,9876,7808,2068,0,0,0.0,cmp_three_tier_to-c40-t0
26,0,0.009,2.6423369939875556,15.1727,device,9104,7808,1296,0,0,0.0,cmp_three_tier_to-c26-t0
20,0,0.005,2.1780908640066627,15.1772,device,10417,7808,2609,0,0,0.0,cmp_three_tier_to-c20-t0
2,0,0.002,1.4907283549982822,15.5562,device,10466,7808,2658,0,0,0.0,cmp_three_tier_to-c2-t0
38,0,0.012,3.5313238270027796,15.6132,device,8180,7808,372,0,0,0.0,cmp_three_tier_to-c38-t0
14,0,0.004,1.73009647600702,16.1654,device,8477,7808,669,0,0,0.0,cmp_three_tier_to-c14-t0
72,0,0.018,9.122413474004134,16.5258,device,8241,7808,433,0,0,0.0,cmp_three_tier_to-c72-t0
58,0,0.015,5.336638224995113,16.5627,device,8345,7808,537,0,0,0.0,cmp_three_tier_to-c58-t0
37,0,0.012,3.531360172011773,16.5999,device,9869,7808,2061,0,0,0.0,cmp_three_tier_to-c37-t0
31,0,0.01,3.081609913002467,16.7478,device,10205,7808,2397,0,0,0.0,cmp_three_tier_to-c31-t0
65,0,0.017,7.454483833993436,17.3833,device,10032,7808,2224,0,0,0.0,cmp_three_tier_to-c65-t0
87,0,0.021,11.4824992470094,17.414,device,8235,7808,427,0,0,0.0,cmp_three_tier_to-c87-t0
64,0,0.017,7.454706578995683,17.451,device,9906,7808,2098,0,0,0.0,cmp_three_tier_to-c64-t0
68,0,0.017,7.94067361499765,17.8609,device,8188,7808,380,0,0,0.0,cmp_three_tier_to-c68-t0
67,0,0.017,7.800954696998815,17.9285,device,8434,7808,626,0,0,0.0,cmp_three_tier_to-c67-t0
24,0,0.009,2.6427621160109993,18.037,device,10174,7808,2366,0,0,0.0,cmp_three_tier_to-c24-t0
94,0,0.022,12.674993720997008,18.0242,device,8182,7808,374,0,0,0.0,cmp_three_tier_to-c94-t0
71,0,0.018,8.999935187006486,18.1732,device,9974,7808,2166,0,0,0.0,cmp_three_tier_to-c71-t0
99,0,0.023,13.063341148008476,18.2035,device,8268,7808,460,0,0,0.0,cmp_three_tier_to-c99-t0
88,0,0.021,11.993873133003945,18.2059,device,14752,7808,6944,0,0,0.0,cmp_three_tier_to-c88-t0
69,0,0.018,8.416173182005878,18.2416,device,8400,7808,592,0,0,0.0,cmp_three_tier_to-c69-t0
96,0,0.023,12.940637105988571,18.3081,device,8227,7808,419,0,0,0.0,cmp_three_tier_to-c96-t0
74,0,0.018,9.374952776008286,18.8112,device,11234,7808,3426,0,0,0.0,cmp_three_tier_to-c74-t0
119,0,0.026,16.3777083390014,19.0886,device,10679,7808,2871,0,0,0.0,cmp_three_tier_to-c119-t0
109,0,0.025,14.929893275999348,19.2735,device,8179,7808,371,0,0,0.0,cmp_three_tier_to-c109-t0
79,0,0.019,10.239663603002555,19.453,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c79-t0
107,0,0.025,14.567060027999105,19.514,device,11751,7808,3943,0,0,0.0,cmp_three_tier_to-c107-t0
36,0,0.011,3.531737641998916,19.6748,device,10857,7808,3049,0,0,0.0,cmp_three_tier_to-c36-t0
86,0,0.021,11.410018843002035,19.6661,device,8268,7808,460,0,0,0.0,cmp_three_tier_to-c86-t0
75,0,0.019,9.628426859999308,19.8471,device,9737,7808,1929,0,0,0.0,cmp_three_tier_to-c75-t0
62,0,0.016,5.550860442992416,19.8849,device,10428,7808,2620,0,0,0.0,cmp_three_tier_to-c62-t0
73,0,0.018,9.122309782003867,19.9139,device,8645,7808,837,0,0,0.0,cmp_three_tier_to-c73-t0
70,0,0.018,8.652445660001831,20.0569,device,8721,7808,913,0,0,0.0,cmp_three_tier_to-c70-t0
97,0,0.023,12.940414090000559,20.1177,device,9980,7808,2172,0,0,0.0,cmp_three_tier_to-c97-t0
83,0,0.02,11.045379420000245,20.1912,device,11645,7808,3837,0,0,0.0,cmp_three_tier_to-c83-t0
84,0,0.021,11.215065024996875,20.3724,device,10033,7808,2225,0,0,0.0,cmp_three_tier_to-c84-t0
104,0,0.024,14.025669363996712,20.5092,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c104-t0
120,0,0.027,16.695792510989122,20.572,device,9572,7808,1764,0,0,0.0,cmp_three_tier_to-c120-t0
82,0,0.02,10.782994761000737,20.6536,device,8606,7808,798,0,0,0.0,cmp_three_tier_to-c82-t0
80,0,0.02,10.580323337999289,20.6543,device,10968,7808,3160,0,0,0.0,cmp_three_tier_to-c80-t0
85,0,0.021,11.410250135988463,20.6535,device,9919,7808,2111,0,0,0.0,cmp_three_tier_to-c85-t0
92,0,0.022,12.40239427900815,20.8491,device,8415,7808,607,0,0,0.0,cmp_three_tier_to-c92-t0
91,0,0.022,12.212028827008908,20.8871,device,9736,7808,1928,0,0,0.0,cmp_three_tier_to-c91-t0
110,0,0.025,14.929804579995107,20.8847,device,9617,7808,1809,0,0,0.0,cmp_three_tier_to-c110-t0
9,1,7.023,11.057814286003122,13.9031,device,8687,8640,47,0,0,0.049,cmp_three_tier_to-c9-t1
90,0,0.022,12.212252081997576,20.9395,device,8445,7808,637,0,0,0.0,cmp_three_tier_to-c90-t0
100,0,0.024,13.159065675994498,20.9378,device,8477,7808,669,0,0,0.0,cmp_three_tier_to-c100-t0
111,0,0.025,14.929591022009845,20.9842,device,11265,7808,3457,0,0,0.0,cmp_three_tier_to-c111-t0
47,1,7.046,11.108883335997234,14.0754,device,8317,8256,61,0,0,0.045,cmp_three_tier_to-c47-t1
51,1,7.632,10.52301032700052,13.4907,device,8394,8320,74,0,0,0.039,cmp_three_tier_to-c51-t1
126,0,0.027,17.7805929340102,21.2833,device,8265,7808,457,0,0,0.0,cmp_three_tier_to-c126-t0
5,1,8.301,10.077899968993734,13.0449,device,9921,9728,193,0,0,0.731,cmp_three_tier_to-c5-t1
106,0,0.025,14.16163296700688,21.4232,device,9946,5824,4122,0,0,0.0,cmp_three_tier_to-c106-t0
43,0,0.013,3.972806228994159,21.5087,device,8964,7808,1156,0,0,0.0,cmp_three_tier_to-c43-t0
117,0,0.026,15.740552872011904,21.4962,device,10151,7808,2343,0,0,0.0,cmp_three_tier_to-c117-t0
102,0,0.024,13.571820987010142,21.5716,device,10008,7808,2200,0,0,0.0,cmp_three_tier_to-c102-t0
108,0,0.025,14.566939965996426,21.5713,device,10375,7808,2567,0,0,0.0,cmp_three_tier_to-c108-t0
93,0,0.022,12.402187041996513,21.7315,device,9741,7808,1933,0,0,0.0,cmp_three_tier_to-c93-t0
113,0,0.026,15.118393213997479,21.7285,device,9942,7808,2134,0,0,0.0,cmp_three_tier_to-c113-t0
77,0,0.019,10.078172382010962,21.7808,device,9944,7808,2136,0,0,0.0,cmp_three_tier_to-c77-t0
95,0,0.023,12.674823362991447,21.7776,device,10270,7808,2462,0,0,0.0,cmp_three_tier_to-c95-t0
78,0,0.019,10.077956348002772,21.813,device,10308,7808,2500,0,0,0.0,cmp_three_tier_to-c78-t0
116,0,0.026,15.497274688998004,22.0995,device,9674,7808,1866,0,0,0.0,cmp_three_tier_to-c116-t0
118,0,0.026,16.03720398900623,22.0997,device,12149,7808,4341,0,0,0.0,cmp_three_tier_to-c118-t0
101,0,0.024,13.572019660001388,22.1024,device,10934,7808,3126,0,0,0.0,cmp_three_tier_to-c101-t0
81,0,0.02,10.580138278004597,22.1631,device,9868,7808,2060,0,0,0.0,cmp_three_tier_to-c81-t0
112,0,0.025,15.118551478008158,22.1579,device,8220,7808,412,0,0,0.0,cmp_three_tier_to-c112-t0
121,0,0.027,16.881529185993713,22.1883,device,8147,7808,339,0,0,0.0,cmp_three_tier_to-c121-t0
105,0,0.024,14.025476732989773,22.4991,device,11008,7808,3200,0,0,0.0,cmp_three_tier_to-c105-t0
98,0,0.023,13.063550708000548,22.5005,device,8552,7808,744,0,0,0.0,cmp_three_tier_to-c98-t0
123,0,0.027,17.028035248004016,22.5619,device,9651,7808,1843,0,0,0.0,cmp_three_tier_to-c123-t0
114,0,0.026,15.497502119003912,22.7125,device,8820,7808,1012,0,0,0.0,cmp_three_tier_to-c114-t0
115,0,0.026,15.497446680994472,22.7128,device,9835,7808,2027,0,0,0.0,cmp_three_tier_to-c115-t0
61,1,7.891,10.406792405003216,14.8483,device,9698,9664,34,0,0,0.035,cmp_three_tier_to-c61-t1
63,0,0.016,7.454991826001788,22.8697,device,11293,7808,3485,0,0,0.0,cmp_three_tier_to-c63-t0
125,0,0.027,17.78064151800936,23.0834,device,10136,7808,2328,0,0,0.0,cmp_three_tier_to-c125-t0
122,0,0.027,16.881331882002996,23.1199,device,9946,7808,2138,0,0,0.0,cmp_three_tier_to-c122-t0
16,1,8.889,10.047316324998974,14.5084,device,9750,9664,86,0,0,0.039,cmp_three_tier_to-c16-t1
23,1,8.343,10.036591255004168,15.0909,device,8301,8256,45,0,0,0.034,cmp_three_tier_to-c23-t1
0,1,8.59,9.78934285500145,15.056,device,8328,8256,72,0,0,0.048,cmp_three_tier_to-c0-t1
89,0,0.022,12.212344686005963,23.7719,device,8303,7808,495,0,0,0.0,cmp_three_tier_to-c89-t0
33,1,11.309,9.415928964008344,12.5518,device,8533,8448,85,0,0,0.038,cmp_three_tier_to-c33-t1
11,1,8.865,9.579024307007785,15.1441,device,8494,8448,46,0,0,0.051,cmp_three_tier_to-c11-t1
32,1,9.504,10.073591421998572,14.6475,device,9964,9920,44,0,0,0.036,cmp_three_tier_to-c32-t1
29,1,12.257,8.832763825004804,11.9304,device,10944,10624,320,0,0,0.718,cmp_three_tier_to-c29-t1
76,0,0.019,10.078444510989357,24.4172,device,10370,7808,2562,0,0,0.0,cmp_three_tier_to-c76-t0
124,0,0.027,17.578977755998494,24.5618,device,10015,7808,2207,0,0,0.0,cmp_three_tier_to-c124-t0
15,1,13.503,8.211079340995639,11.1564,device,10269,10048,221,0,0,0.734,cmp_three_tier_to-c15-t1
59,1,14.356,7.625145673999214,10.5102,device,10791,10368,423,0,0,0.724,cmp_three_tier_to-c59-t1
54,1,10.221,9.817951552991872,14.7886,device,8296,8256,40,0,0,0.035,cmp_three_tier_to-c54-t1
4,1,9.575,10.218290360004175,15.47,device,8813,8768,45,0,0,0.041,cmp_three_tier_to-c4-t1
6,1,14.006,7.865724679999403,11.0741,device,10138,9920,218,0,0,0.716,cmp_three_tier_to-c6-t1
48,1,9.554,10.093400547993951,15.6097,device,8409,8320,89,0,0,0.051,cmp_three_tier_to-c48-t1
39,1,15.369,7.011024067993276,9.8142,device,11006,10688,318,0,0,0.741,cmp_three_tier_to-c39-t1
22,1,10.881,9.437808813003357,14.3651,device,9956,9920,36,0,0,0.044,cmp_three_tier_to-c22-t1
66,0,0.017,7.801209614000982,25.3189,device,10350,7808,2542,0,0,0.0,cmp_three_tier_to-c66-t0
21,1,8.929,10.294359375999193,16.666,device,11107,11072,35,0,0,0.048,cmp_three_tier_to-c21-t1
27,1,12.096,8.897149248994538,13.5338,device,8569,8512,57,0,0,0.043,cmp_three_tier_to-c27-t1
127,0,0.028,17.981779688008828,25.637,device,8590,7808,782,0,0,0.0,cmp_three_tier_to-c127-t0
46,1,14.956,7.311263744006283,10.7092,device,10274,9920,354,0,0,0.731,cmp_three_tier_to-c46-t1
72,1,16.591,6.107793817005586,9.3072,device,8327,8256,71,0,0,0.046,cmp_three_tier_to-c72-t1
12,1,10.776,9.47086096899875,15.1902,device,8317,8256,61,0,0,0.037,cmp_three_tier_to-c12-t1
44,1,9.097,10.302192600996932,16.8692,device,8455,8384,71,0,0,0.044,cmp_three_tier_to-c44-t1
25,1,13.333,8.302654193990747,12.7084,device,8713,8640,73,0,0,0.043,cmp_three_tier_to-c25-t1
31,1,17.468,5.533314372005407,8.5737,device,10662,10304,358,0,0,0.71,cmp_three_tier_to-c31-t1
103,0,0.024,14.0257012360089,26.2063,device,10083,7808,2275,0,0,0.0,cmp_three_tier_to-c103-t0
55,1,10.172,9.795119175993023,16.093,device,8314,8256,58,0,0,0.037,cmp_three_tier_to-c55-t1
60,1,9.597,10.196046102006221,16.6686,device,10217,10176,41,0,0,0.046,cmp_three_tier_to-c60-t1
87,1,17.479,5.734971696991124,8.8223,device,8318,8256,62,0,0,0.042,cmp_three_tier_to-c87-t1
