kind,t0,t1,tokens,ms,key
s2h,-2.7534024715423584,,,,73e8c2d858b342b5bc233c5bcc5a4ce5
s2h,-2.3684024810791016,,,,HEALTH_CHECK_e1f47c92a722490a8cad4a54e2a3e8ab
s2h,-1.3314025402069092,,,,HEALTH_CHECK_e3165012548149d48af5d24353f9803e
s2h,0.022597551345825195,,,,cmp_three_tier_to-c0-t0
d2h,0.40959739685058594,0.4405975341796875,8192,24.9,
d2h,0.410597562789917,0.4405975341796875,1920,3.9,
h2s,0.4385974407196045,0.845597505569458,8192,401.0,1
h2s,0.4405975341796875,0.9275975227355957,1920,86.0,2
d2h,1.848597526550293,1.849597454071045,128,0.3,
h2s,1.849597454071045,1.8575975894927979,128,7.0,3
s2h,2.038597583770752,,,,cmp_three_tier_to-c0-t1
d2h,2.087597608566284,2.088597536087036,64,0.2,
h2s,2.088597536087036,2.09659743309021,64,5.0,4
d2h,3.716597557067871,3.717597484588623,128,0.4,
h2s,3.717597484588623,3.781597375869751,128,34.0,5
s2h,18.635597467422485,,,,cmp_three_tier_to-c1-t0
d2h,19.01259756088257,19.02459740638733,6208,11.5,
h2s,19.023597478866577,19.303597450256348,6208,276.0,7
d2h,21.25759744644165,21.25859761238098,192,0.5,
h2s,21.25759744644165,21.26859760284424,192,10.0,8
s2h,32.82259750366211,,,,cmp_three_tier_to-c2-t0
d2h,33.19359755516052,33.20559740066528,6144,11.4,
h2s,33.20459747314453,33.47259759902954,6144,259.0,10
d2h,34.528597593307495,34.52959752082825,64,0.2,
h2s,34.52959752082825,34.539597511291504,64,4.0,11
s2h,34.57459759712219,,,,cmp_three_tier_to-c2-t1
d2h,34.63859748840332,34.6405975818634,192,0.5,
h2s,34.6405975818634,34.64959740638733,192,8.0,12
d2h,35.41359758377075,35.414597511291504,64,0.2,
h2s,35.414597511291504,35.42459750175476,64,4.0,13
s2h,36.35259747505188,,,,cmp_three_tier_to-c2-t2
d2h,36.52459740638733,36.53759741783142,1472,2.8,
h2s,36.53659749031067,36.6095974445343,1472,67.0,15
d2h,37.408597469329834,37.409597396850586,64,0.2,
h2s,37.408597469329834,37.41959738731384,64,3.0,16
s2h,37.4365975856781,,,,cmp_three_tier_to-c2-t3
d2h,37.504597425460815,37.50559759140015,64,0.2,
h2s,37.50559759140015,37.5155975818634,64,3.0,17
s2h,38.28559756278992,,,,cmp_three_tier_to-c3-t0
d2h,38.516597509384155,38.528597593307495,3328,6.2,
h2s,38.527597427368164,38.682597398757935,3328,147.0,19
d2h,38.992597579956055,38.99359750747681,64,0.2,
h2s,38.99359750747681,39.00559759140015,64,3.0,20
d2h,39.68759751319885,39.688597440719604,128,0.4,
h2s,39.688597440719604,39.69659757614136,128,7.0,21
s2h,39.736597537994385,,,,cmp_three_tier_to-c3-t1
d2h,39.79259753227234,39.79459738731384,192,0.5,
h2s,39.79359745979309,39.81259751319885,192,9.0,22
d2h,40.32459759712219,40.326597452163696,64,0.2,
h2s,40.325597524642944,40.33459758758545,64,4.0,23
s2h,40.35259747505188,,,,cmp_three_tier_to-c3-t2
d2h,40.48859739303589,40.49959754943848,1408,2.7,
h2s,40.49959754943848,40.57359743118286,1408,72.0,25
s2h,41.27559757232666,,,,cmp_three_tier_to-c4-t0
d2h,41.47059750556946,41.4825975894928,2816,5.3,
h2s,41.4825975894928,41.616597414016724,2816,129.0,27
