kind,t0,t1,tokens,ms,key
s2h,-3.445923328399658,,,,67e8f2a228f0438fae9a3bad3508fd5e
s2h,-2.7629234790802,,,,HEALTH_CHECK_e581edb9fd43411683898e8bb3479767
s2h,-1.6909234523773193,,,,HEALTH_CHECK_310418b023b943dca1efa62c570be170
s2h,0.023076534271240234,,,,cmp_three_tier_wc-c0-t0
d2h,0.8970766067504883,0.9280765056610107,8192,21.5,
d2h,0.8970766067504883,0.9280765056610107,1920,3.9,
h2s,0.9260766506195068,1.3870766162872314,8192,454.0,1
h2s,0.9280765056610107,1.4870765209197998,1920,102.0,2
d2h,2.336076498031616,2.3370766639709473,128,0.4,
h2s,2.3370766639709473,2.344076633453369,128,7.0,3
s2h,2.526076555252075,,,,cmp_three_tier_wc-c0-t1
d2h,2.5760765075683594,2.5780766010284424,64,0.2,
h2s,2.5770766735076904,2.5850765705108643,64,4.0,4
d2h,4.205076456069946,4.206076622009277,128,0.4,
h2s,4.206076622009277,4.229076623916626,128,22.0,5
s2h,18.634076595306396,,,,cmp_three_tier_wc-c1-t0
d2h,19.030076503753662,19.043076515197754,6208,11.5,
h2s,19.042076587677002,19.366076469421387,6208,316.0,7
d2h,21.275076627731323,21.276076555252075,192,0.5,
h2s,21.276076555252075,21.337076663970947,192,44.0,8
s2h,32.835076570510864,,,,cmp_three_tier_wc-c2-t0
d2h,33.216076612472534,33.229076623916626,6144,11.4,
h2s,33.228076457977295,33.54107666015625,6144,313.0,10
d2h,34.55207657814026,34.55307650566101,64,0.2,
h2s,34.55307650566101,34.562076568603516,64,4.0,11
s2h,34.59607648849487,,,,cmp_three_tier_wc-c2-t1
d2h,34.66107654571533,34.662076473236084,192,0.5,
h2s,34.662076473236084,34.68307662010193,192,10.0,12
d2h,35.43507647514343,35.437076568603516,64,0.2,
h2s,35.436076641082764,35.44607663154602,64,4.0,13
s2h,36.376076459884644,,,,cmp_three_tier_wc-c2-t2
d2h,36.56007647514343,36.57207655906677,1472,2.8,
h2s,36.57207655906677,36.65607666969299,1472,74.0,15
d2h,37.443076610565186,37.44407653808594,64,0.2,
h2s,37.44407653808594,37.454076528549194,64,4.0,16
s2h,37.472076654434204,,,,cmp_three_tier_wc-c2-t3
d2h,37.53907656669617,37.54107666015625,64,0.2,
h2s,37.54107666015625,37.55107665061951,64,4.0,17
s2h,38.29707646369934,,,,cmp_three_tier_wc-c3-t0
d2h,38.52807664871216,38.53907656669617,3328,6.2,
h2s,38.53907656669617,38.72007656097412,3328,171.0,19
d2h,39.02907657623291,39.03007650375366,64,0.2,
h2s,39.03007650375366,39.04107666015625,64,4.0,20
d2h,39.70307660102844,39.704076528549194,128,0.4,
h2s,39.704076528549194,39.71207666397095,128,7.0,21
s2h,39.752076625823975,,,,cmp_three_tier_wc-c3-t1
d2h,39.80907654762268,39.81007647514343,192,0.5,
h2s,39.81007647514343,39.82807660102844,192,10.0,22
d2h,40.3400764465332,40.341076612472534,64,0.2,
h2s,40.341076612472534,40.34907650947571,64,4.0,23
s2h,40.36607646942139,,,,cmp_three_tier_wc-c3-t2
