arm,gap_class,n,share_device,share_host,share_storage,share_recompute,ttft_mean,ttft_mean_ci_lo,ttft_mean_ci_hi,ttft_p50,ttft_p90,queue_mean,queue_measured
hbm_host,all,6676,0.8363,0.1282,0.0,0.0355,0.518,0.496,0.541,0.28,0.748,0.069,6676
hbm_host,<1 min,5968,0.9306,0.0595,0.0,0.0099,0.431,0.414,0.447,0.274,0.632,0.064,5968
hbm_host,1-5 min,465,0.0602,0.9333,0.0,0.0065,0.574,0.488,0.673,0.29,0.848,0.09,465
hbm_host,5-10 min,80,0.0125,0.8375,0.0,0.15,1.143,0.772,1.561,0.317,3.826,0.215,80
hbm_host,>=10 min,163,0.0,0.0,0.0,1.0,3.21,2.826,3.636,2.441,6.243,0.132,163
three_tier_to,all,6831,0.8656,0.0984,0.0262,0.0098,0.375,0.368,0.382,0.297,0.599,0.048,6831
three_tier_to,<1 min,6103,0.9635,0.0262,0.0,0.0103,0.355,0.349,0.362,0.292,0.558,0.031,6103
three_tier_to,1-5 min,482,0.0685,0.9253,0.0,0.0062,0.392,0.364,0.427,0.316,0.607,0.034,482
three_tier_to,5-10 min,82,0.0,0.8049,0.1951,0.0,0.466,0.388,0.578,0.334,0.948,0.124,82
three_tier_to,>=10 min,164,0.0,0.0,0.9939,0.0061,1.017,0.942,1.104,0.916,1.587,0.69,164
three_tier_wc,all,6830,0.8669,0.0971,0.0262,0.0098,0.378,0.372,0.386,0.305,0.603,0.049,6830
three_tier_wc,<1 min,6102,0.9643,0.0254,0.0,0.0103,0.358,0.352,0.364,0.3,0.562,0.03,6102
three_tier_wc,1-5 min,482,0.0768,0.917,0.0,0.0062,0.382,0.354,0.418,0.319,0.579,0.03,482
three_tier_wc,5-10 min,82,0.0,0.8049,0.1951,0.0,0.475,0.41,0.542,0.372,0.967,0.152,82
three_tier_wc,>=10 min,164,0.0,0.0,0.9939,0.0061,1.076,0.994,1.168,0.981,1.643,0.739,164
hbm_lru,all,1737,0.0,0.0,0.0,1.0,111.284,109.517,112.946,117.804,152.96,107.289,1737
hbm_lru,<1 min,1535,0.0,0.0,0.0,1.0,111.816,109.954,113.546,118.15,152.816,107.879,1535
hbm_lru,1-5 min,125,0.0,0.0,0.0,1.0,112.253,105.452,118.498,121.023,154.682,107.47,125
hbm_lru,5-10 min,19,0.0,0.0,0.0,1.0,104.816,88.177,122.071,110.926,152.874,99.842,19
hbm_lru,>=10 min,58,0.0,0.0,0.0,1.0,97.256,87.224,107.207,104.418,155.448,93.703,58
