arm,ref,gap_class,pairs,diff_mean,diff_ci_lo,diff_ci_hi,diff_p50
three_tier_to,hbm_host,all,6671,-0.144,-0.165,-0.124,0.02
three_tier_to,hbm_host,<1 min,5963,-0.077,-0.095,-0.061,0.022
three_tier_to,hbm_host,1-5 min,465,-0.182,-0.279,-0.096,0.023
three_tier_to,hbm_host,5-10 min,80,-0.717,-1.115,-0.352,-0.004
three_tier_to,hbm_host,>=10 min,163,-2.199,-2.547,-1.848,-1.502
three_tier_wc,hbm_host,all,6671,-0.141,-0.162,-0.12,0.026
three_tier_wc,hbm_host,<1 min,5963,-0.075,-0.092,-0.058,0.028
three_tier_wc,hbm_host,1-5 min,465,-0.192,-0.289,-0.107,0.026
three_tier_wc,hbm_host,5-10 min,80,-0.682,-1.093,-0.311,0.002
three_tier_wc,hbm_host,>=10 min,163,-2.144,-2.502,-1.819,-1.391
hbm_lru,hbm_host,all,1265,123.259,121.604,124.842,128.558
hbm_lru,hbm_host,<1 min,1087,125.163,123.368,126.851,129.79
hbm_lru,hbm_host,1-5 min,101,122.496,115.928,128.61,128.817
hbm_lru,hbm_host,5-10 min,19,104.263,87.734,120.265,110.104
hbm_lru,hbm_host,>=10 min,58,95.13,85.328,105.08,102.817
