tier,L,rep,ttft_s,cached_device,cached_host,cached_storage,prefetch_policy,background_load,discards,prompt_tokens
recompute,512,0,0.064415,None,None,None,wait_complete,none,0,512
recompute,512,1,0.073199,None,None,None,wait_complete,none,0,512
recompute,512,2,0.073310,None,None,None,wait_complete,none,0,512
recompute,1024,0,0.122204,None,None,None,wait_complete,none,0,1024
recompute,1024,1,0.126523,None,None,None,wait_complete,none,0,1024
recompute,1024,2,0.123577,None,None,None,wait_complete,none,0,1024
recompute,2048,0,0.244644,None,None,None,wait_complete,none,0,2048
recompute,2048,1,0.245556,None,None,None,wait_complete,none,0,2048
recompute,2048,2,0.242767,None,None,None,wait_complete,none,0,2048
recompute,4096,0,0.511875,None,None,None,wait_complete,none,0,4096
recompute,4096,1,0.506251,None,None,None,wait_complete,none,0,4096
recompute,4096,2,0.512064,None,None,None,wait_complete,none,0,4096
recompute,8192,0,1.178887,None,None,None,wait_complete,none,0,8192
recompute,8192,1,1.172453,None,None,None,wait_complete,none,0,8192
recompute,8192,2,1.170876,None,None,None,wait_complete,none,0,8192
recompute,16384,0,3.413150,None,None,None,wait_complete,none,0,16384
recompute,16384,1,3.415183,None,None,None,wait_complete,none,0,16384
recompute,16384,2,3.416069,None,None,None,wait_complete,none,0,16384
recompute,32512,0,11.276105,None,None,None,wait_complete,none,0,32512
recompute,32512,1,11.278771,None,None,None,wait_complete,none,0,32512
recompute,32512,2,11.257220,None,None,None,wait_complete,none,0,32512
