tier,L,rep,ttft_s,cached_device,cached_host,cached_storage,prefetch_policy,background_load,discards,prompt_tokens
recompute,512,0,0.033522,None,None,None,wait_complete,none,0,512
recompute,512,1,0.039948,None,None,None,wait_complete,none,0,512
recompute,512,2,0.044420,None,None,None,wait_complete,none,0,512
recompute,1024,0,0.054093,None,None,None,wait_complete,none,0,1024
recompute,1024,1,0.053589,None,None,None,wait_complete,none,0,1024
recompute,1024,2,0.051281,None,None,None,wait_complete,none,0,1024
recompute,2048,0,0.081147,None,None,None,wait_complete,none,0,2048
recompute,2048,1,0.079024,None,None,None,wait_complete,none,0,2048
recompute,2048,2,0.075437,None,None,None,wait_complete,none,0,2048
recompute,4096,0,0.158342,None,None,None,wait_complete,none,0,4096
recompute,4096,1,0.149754,None,None,None,wait_complete,none,0,4096
recompute,4096,2,0.138515,None,None,None,wait_complete,none,0,4096
recompute,8192,0,0.331845,None,None,None,wait_complete,none,0,8192
recompute,8192,1,0.330590,None,None,None,wait_complete,none,0,8192
recompute,8192,2,0.320207,None,None,None,wait_complete,none,0,8192
recompute,16384,0,0.906331,None,None,None,wait_complete,none,0,16384
recompute,16384,1,0.902122,None,None,None,wait_complete,none,0,16384
recompute,16384,2,0.950324,None,None,None,wait_complete,none,0,16384
recompute,32512,0,3.577463,None,None,None,wait_complete,none,0,32512
recompute,32512,1,3.634765,None,None,None,wait_complete,none,0,32512
recompute,32512,2,3.575196,None,None,None,wait_complete,none,0,32512
recompute,65024,0,13.869709,None,None,None,wait_complete,none,0,65024
recompute,65024,1,13.722685,None,None,None,wait_complete,none,0,65024
recompute,65024,2,13.730400,None,None,None,wait_complete,none,0,65024
